%
%
% Run:      Table:GAUGE1            SWASH version:11.01AB
%
%       Tsec          Watlev      X-vel         Y-vel      
%       [s]           [m]           [m/s]         [m/s]    
%
      0.00000        0.0000      0.000000      0.000000 
      0.05000       -0.0000     -0.000005      0.000000 
      0.10000       -0.0000     -0.000001      0.000000 
      0.15000       -0.0000     -0.000003      0.000000 
      0.20000       -0.0000      0.000001      0.000000 
      0.25000       -0.0000     -0.000006      0.000000 
      0.30000       -0.0000     -0.000011      0.000000 
      0.35000       -0.0000     -0.000018      0.000000 
      0.40000       -0.0000     -0.000025      0.000000 
      0.45000       -0.0000     -0.000031      0.000000 
      0.50000       -0.0000     -0.000075      0.000000 
      0.55000       -0.0000     -0.000101      0.000000 
      0.60000       -0.0000     -0.000110      0.000000 
      0.65000       -0.0000     -0.000155      0.000000 
      0.70000       -0.0000     -0.000216      0.000000 
      0.75000       -0.0001     -0.000300      0.000000 
      0.80000       -0.0001     -0.000398      0.000000 
      0.85000       -0.0001     -0.000501      0.000000 
      0.90000       -0.0001     -0.000646      0.000000 
      0.95000       -0.0002     -0.000793      0.000000 
      1.00000       -0.0002     -0.000978      0.000000 
      1.05000       -0.0003     -0.001183      0.000000 
      1.10000       -0.0003     -0.001407      0.000000 
      1.15000       -0.0004     -0.001646      0.000000 
      1.20000       -0.0004     -0.001885      0.000000 
      1.25000       -0.0005     -0.002101      0.000000 
      1.30000       -0.0006     -0.002286      0.000000 
      1.35000       -0.0006     -0.002396      0.000000 
      1.40000       -0.0006     -0.002399      0.000000 
      1.45000       -0.0006     -0.002243      0.000000 
      1.50000       -0.0006     -0.001873      0.000000 
      1.55000       -0.0005     -0.001215      0.000000 
      1.60000       -0.0003     -0.000187      0.000000 
      1.65000       -0.0000      0.001302      0.000000 
      1.70000        0.0004      0.003360      0.000000 
      1.75000        0.0010      0.006096      0.000000 
      1.80000        0.0017      0.009628      0.000000 
      1.85000        0.0027      0.014070      0.000000 
      1.90000        0.0039      0.019532      0.000000 
      1.95000        0.0054      0.026106      0.000000 
      2.00000        0.0072      0.033858      0.000000 
      2.05000        0.0093      0.042814      0.000000 
      2.10000        0.0118      0.052954      0.000000 
      2.15000        0.0145      0.064186      0.000000 
      2.20000        0.0176      0.076331      0.000000 
      2.25000        0.0209      0.089141      0.000000 
      2.30000        0.0243      0.102249      0.000000 
      2.35000        0.0278      0.115196      0.000000 
      2.40000        0.0311      0.127423      0.000000 
      2.45000        0.0342      0.138301      0.000000 
      2.50000        0.0367      0.147146      0.000000 
      2.55000        0.0386      0.153273      0.000000 
      2.60000        0.0395      0.156034      0.000000 
      2.65000        0.0393      0.154864      0.000000 
      2.70000        0.0379      0.149396      0.000000 
      2.75000        0.0353      0.139433      0.000000 
      2.80000        0.0314      0.125001      0.000000 
      2.85000        0.0263      0.106364      0.000000 
