%
%
% Run:      Table:GAUGE1            SWASH version:11.01AB
%
%       Tsec          Watlev      X-vel         Y-vel      
%       [s]           [m]           [m/s]         [m/s]    
%
      0.00000        0.0000      0.000000      0.000000 
      0.05000       -0.0000     -0.000002      0.000000 
      0.10000       -0.0000     -0.000002      0.000000 
      0.15000       -0.0000     -0.000002      0.000000 
      0.20000       -0.0000     -0.000003      0.000000 
      0.25000       -0.0000     -0.000001      0.000000 
      0.30000       -0.0000     -0.000005      0.000000 
      0.35000       -0.0000     -0.000006      0.000000 
      0.40000       -0.0000     -0.000006      0.000000 
      0.45000       -0.0000     -0.000016      0.000000 
      0.50000       -0.0000     -0.000026      0.000000 
      0.55000       -0.0000     -0.000029      0.000000 
      0.60000       -0.0000     -0.000043      0.000000 
      0.65000       -0.0000     -0.000068      0.000000 
      0.70000       -0.0000     -0.000066      0.000000 
      0.75000       -0.0000     -0.000111      0.000000 
      0.80000       -0.0000     -0.000129      0.000000 
      0.85000       -0.0000     -0.000167      0.000000 
      0.90000       -0.0000     -0.000198      0.000000 
      0.95000       -0.0001     -0.000245      0.000000 
      1.00000       -0.0001     -0.000287      0.000000 
      1.05000       -0.0001     -0.000329      0.000000 
      1.10000       -0.0001     -0.000369      0.000000 
      1.15000       -0.0001     -0.000394      0.000000 
      1.20000       -0.0001     -0.000407      0.000000 
      1.25000       -0.0001     -0.000388      0.000000 
      1.30000       -0.0001     -0.000336      0.000000 
      1.35000       -0.0001     -0.000220      0.000000 
      1.40000       -0.0001     -0.000030      0.000000 
      1.45000       -0.0000      0.000257      0.000000 
      1.50000        0.0001      0.000674      0.000000 
      1.55000        0.0002      0.001250      0.000000 
      1.60000        0.0003      0.002020      0.000000 
      1.65000        0.0005      0.003024      0.000000 
      1.70000        0.0008      0.004305      0.000000 
      1.75000        0.0012      0.005905      0.000000 
      1.80000        0.0016      0.007865      0.000000 
      1.85000        0.0021      0.010229      0.000000 
      1.90000        0.0028      0.013028      0.000000 
      1.95000        0.0035      0.016291      0.000000 
      2.00000        0.0044      0.020029      0.000000 
      2.05000        0.0054      0.024241      0.000000 
      2.10000        0.0065      0.028901      0.000000 
      2.15000        0.0078      0.033959      0.000000 
      2.20000        0.0091      0.039342      0.000000 
      2.25000        0.0105      0.044934      0.000000 
      2.30000        0.0120      0.050599      0.000000 
      2.35000        0.0134      0.056147      0.000000 
      2.40000        0.0148      0.061385      0.000000 
      2.45000        0.0160      0.066071      0.000000 
      2.50000        0.0171      0.069950      0.000000 
      2.55000        0.0179      0.072772      0.000000 
      2.60000        0.0184      0.074278      0.000000 
      2.65000        0.0185      0.074231      0.000000 
      2.70000        0.0181      0.072448      0.000000 
      2.75000        0.0172      0.068785      0.000000 
      2.80000        0.0158      0.063172      0.000000 
      2.85000        0.0138      0.055609      0.000000 
      2.90000        0.0114      0.046187      0.000000 
      2.95000        0.0086      0.035063      0.000000 
      3.00000        0.0054      0.022484      0.000000 
      3.05000        0.0019      0.008752      0.000000 
      3.10000       -0.0018     -0.005775      0.000000 
      3.15000       -0.0055     -0.020709      0.000000 
      3.20000       -0.0092     -0.035641      0.000000 
      3.25000       -0.0128     -0.050157      0.000000 
      3.30000       -0.0161     -0.063850      0.000000 
      3.35000       -0.0192     -0.076332      0.000000 
      3.40000       -0.0218     -0.087238      0.000000 
      3.45000       -0.0239     -0.096233      0.000000 
      3.50000       -0.0255     -0.103018      0.000000 
      3.55000       -0.0265     -0.107325      0.000000 
      3.60000       -0.0268     -0.108936      0.000000 
      3.65000       -0.0265     -0.107652      0.000000 
      3.70000       -0.0254     -0.103377      0.000000 
      3.75000       -0.0236     -0.096037      0.000000 
      3.80000       -0.0211     -0.085644      0.000000 
      3.85000       -0.0177     -0.072298      0.000000 
      3.90000       -0.0137     -0.056204      0.000000 
      3.95000       -0.0090     -0.037691      0.000000 
      4.00000       -0.0037     -0.017214      0.000000 
      4.05000        0.0020      0.004624      0.000000 
      4.10000        0.0079      0.027086      0.000000 
      4.15000        0.0139      0.049330      0.000000 
      4.20000        0.0195      0.070426      0.000000 
      4.25000        0.0246      0.089386      0.000000 
      4.30000        0.0287      0.105297      0.000000 
      4.35000        0.0318      0.117365      0.000000 
      4.40000        0.0335      0.124981      0.000000 
      4.45000        0.0338      0.127838      0.000000 
      4.50000        0.0328      0.125933      0.000000 
      4.55000        0.0305      0.119536      0.000000 
      4.60000        0.0273      0.109148      0.000000 
      4.65000        0.0233      0.095437      0.000000 
      4.70000        0.0187      0.079130      0.000000 
      4.75000        0.0139      0.060961      0.000000 
      4.80000        0.0089      0.041604      0.000000 
      4.85000        0.0040      0.021640      0.000000 
      4.90000       -0.0008      0.001561      0.000000 
      4.95000       -0.0054     -0.018236      0.000000 
      5.00000       -0.0099     -0.037426      0.000000 
      5.05000       -0.0141     -0.055741      0.000000 
      5.10000       -0.0180     -0.072939      0.000000 
      5.15000       -0.0216     -0.088790      0.000000 
      5.20000       -0.0249     -0.103057      0.000000 
      5.25000       -0.0278     -0.115487      0.000000 
      5.30000       -0.0302     -0.125809      0.000000 
      5.35000       -0.0321     -0.133733      0.000000 
      5.40000       -0.0335     -0.138965      0.000000 
      5.45000       -0.0341     -0.141216      0.000000 
      5.50000       -0.0340     -0.140222      0.000000 
      5.55000       -0.0330     -0.135745      0.000000 
      5.60000       -0.0311     -0.127660      0.000000 
      5.65000       -0.0283     -0.115923      0.000000 
      5.70000       -0.0245     -0.100593      0.000000 
      5.75000       -0.0198     -0.081911      0.000000 
      5.80000       -0.0142     -0.060302      0.000000 
      5.85000       -0.0079     -0.036396      0.000000 
      5.90000       -0.0010     -0.011045      0.000000 
      5.95000        0.0060      0.014703      0.000000 
      6.00000        0.0128      0.039617      0.000000 
      6.05000        0.0190      0.062394      0.000000 
      6.10000        0.0241      0.081772      0.000000 
      6.15000        0.0277      0.096695      0.000000 
      6.20000        0.0297      0.106466      0.000000 
      6.25000        0.0299      0.110957      0.000000 
      6.30000        0.0288      0.110604      0.000000 
      6.35000        0.0265      0.106180      0.000000 
      6.40000        0.0236      0.098764      0.000000 
      6.45000        0.0205      0.089492      0.000000 
      6.50000        0.0174      0.079392      0.000000 
      6.55000        0.0147      0.069251      0.000000 
      6.60000        0.0125      0.059589      0.000000 
      6.65000        0.0106      0.050646      0.000000 
      6.70000        0.0090      0.042415      0.000000 
