%
%
% Run:      Table:GAUGE2            SWASH version:11.01AB
%
%       Tsec          Watlev      X-vel         Y-vel      
%       [s]           [m]           [m/s]         [m/s]    
%
      0.00000        0.0000      0.000000      0.000000 
      0.05000       -0.0000     -0.000000      0.000000 
      0.10000        0.0000      0.000000      0.000000 
      0.15000        0.0000      0.000000      0.000000 
      0.20000        0.0000      0.000000      0.000000 
      0.25000       -0.0000     -0.000000      0.000000 
      0.30000        0.0000      0.000000      0.000000 
      0.35000        0.0000      0.000000      0.000000 
      0.40000        0.0000     -0.000000      0.000000 
      0.45000       -0.0000      0.000000      0.000000 
      0.50000       -0.0000      0.000000      0.000000 
      0.55000       -0.0000     -0.000000      0.000000 
      0.60000       -0.0000     -0.000000      0.000000 
      0.65000       -0.0000      0.000000      0.000000 
      0.70000       -0.0000     -0.000000      0.000000 
      0.75000       -0.0000      0.000000      0.000000 
      0.80000       -0.0000     -0.000000      0.000000 
      0.85000       -0.0000      0.000000      0.000000 
      0.90000       -0.0000     -0.000000      0.000000 
      0.95000       -0.0000     -0.000000      0.000000 
      1.00000       -0.0000     -0.000000      0.000000 
      1.05000       -0.0000     -0.000000      0.000000 
      1.10000       -0.0000     -0.000002      0.000000 
      1.15000       -0.0000     -0.000003      0.000000 
      1.20000       -0.0000     -0.000003      0.000000 
      1.25000        0.0000      0.000004      0.000000 
      1.30000        0.0000     -0.000005      0.000000 
      1.35000        0.0000     -0.000000      0.000000 
      1.40000        0.0000      0.000001      0.000000 
      1.45000       -0.0000      0.000000      0.000000 
      1.50000       -0.0000     -0.000001      0.000000 
      1.55000       -0.0000      0.000001      0.000000 
      1.60000       -0.0000     -0.000000      0.000000 
      1.65000       -0.0000     -0.000001      0.000000 
      1.70000       -0.0000     -0.000002      0.000000 
      1.75000       -0.0000     -0.000002      0.000000 
      1.80000       -0.0000     -0.000004      0.000000 
      1.85000       -0.0000     -0.000005      0.000000 
      1.90000       -0.0000     -0.000008      0.000000 
      1.95000       -0.0000     -0.000009      0.000000 
      2.00000       -0.0000     -0.000012      0.000000 
      2.05000       -0.0000     -0.000014      0.000000 
      2.10000       -0.0000     -0.000017      0.000000 
      2.15000       -0.0000     -0.000020      0.000000 
      2.20000       -0.0000     -0.000024      0.000000 
      2.25000       -0.0000     -0.000027      0.000000 
      2.30000       -0.0000     -0.000030      0.000000 
      2.35000       -0.0000     -0.000033      0.000000 
      2.40000       -0.0000     -0.000034      0.000000 
      2.45000       -0.0000     -0.000033      0.000000 
      2.50000       -0.0000     -0.000031      0.000000 
      2.55000       -0.0000     -0.000024      0.000000 
      2.60000       -0.0000     -0.000012      0.000000 
      2.65000       -0.0000      0.000007      0.000000 
      2.70000        0.0000      0.000035      0.000000 
      2.75000        0.0000      0.000076      0.000000 
      2.80000        0.0000      0.000133      0.000000 
      2.85000        0.0000      0.000209      0.000000 
      2.90000        0.0001      0.000311      0.000000 
      2.95000        0.0001      0.000444      0.000000 
      3.00000        0.0001      0.000617      0.000000 
      3.05000        0.0002      0.000836      0.000000 
      3.10000        0.0002      0.001112      0.000000 
      3.15000        0.0003      0.001455      0.000000 
      3.20000        0.0004      0.001879      0.000000 
      3.25000        0.0005      0.002395      0.000000 
      3.30000        0.0006      0.003020      0.000000 
      3.35000        0.0008      0.003769      0.000000 
      3.40000        0.0010      0.004658      0.000000 
      3.45000        0.0012      0.005706      0.000000 
      3.50000        0.0014      0.006930      0.000000 
      3.55000        0.0018      0.008347      0.000000 
      3.60000        0.0021      0.009975      0.000000 
      3.65000        0.0025      0.011826      0.000000 
      3.70000        0.0030      0.013913      0.000000 
      3.75000        0.0035      0.016244      0.000000 
      3.80000        0.0041      0.018823      0.000000 
      3.85000        0.0047      0.021646      0.000000 
      3.90000        0.0054      0.024702      0.000000 
      3.95000        0.0061      0.027970      0.000000 
      4.00000        0.0069      0.031419      0.000000 
      4.05000        0.0078      0.035008      0.000000 
      4.10000        0.0086      0.038679      0.000000 
      4.15000        0.0095      0.042369      0.000000 
      4.20000        0.0103      0.045993      0.000000 
      4.25000        0.0112      0.049457      0.000000 
      4.30000        0.0119      0.052659      0.000000 
      4.35000        0.0126      0.055487      0.000000 
      4.40000        0.0132      0.057821      0.000000 
      4.45000        0.0137      0.059543      0.000000 
      4.50000        0.0139      0.060536      0.000000 
      4.55000        0.0140      0.060692      0.000000 
      4.60000        0.0139      0.059917      0.000000 
      4.65000        0.0135      0.058136      0.000000 
      4.70000        0.0128      0.055292      0.000000 
      4.75000        0.0119      0.051360      0.000000 
      4.80000        0.0108      0.046345      0.000000 
      4.85000        0.0094      0.040277      0.000000 
      4.90000        0.0078      0.033221      0.000000 
      4.95000        0.0059      0.025269      0.000000 
      5.00000        0.0039      0.016542      0.000000 
      5.05000        0.0018      0.007180      0.000000 
      5.10000       -0.0005     -0.002653      0.000000 
      5.15000       -0.0028     -0.012782      0.000000 
      5.20000       -0.0051     -0.023017      0.000000 
      5.25000       -0.0074     -0.033165      0.000000 
      5.30000       -0.0096     -0.043025      0.000000 
      5.35000       -0.0117     -0.052394      0.000000 
      5.40000       -0.0137     -0.061068      0.000000 
      5.45000       -0.0154     -0.068843      0.000000 
      5.50000       -0.0169     -0.075518      0.000000 
      5.55000       -0.0181     -0.080891      0.000000 
      5.60000       -0.0190     -0.084765      0.000000 
      5.65000       -0.0195     -0.086946      0.000000 
      5.70000       -0.0197     -0.087248      0.000000 
      5.75000       -0.0193     -0.085496      0.000000 
      5.80000       -0.0185     -0.081535      0.000000 
      5.85000       -0.0171     -0.075247      0.000000 
      5.90000       -0.0152     -0.066542      0.000000 
      5.95000       -0.0127     -0.055398      0.000000 
      6.00000       -0.0097     -0.041864      0.000000 
      6.05000       -0.0060     -0.026086      0.000000 
      6.10000       -0.0019     -0.008334      0.000000 
      6.15000        0.0027      0.010996      0.000000 
      6.20000        0.0077      0.031360      0.000000 
      6.25000        0.0128      0.052057      0.000000 
      6.30000        0.0179      0.072304      0.000000 
      6.35000        0.0227      0.091142      0.000000 
      6.40000        0.0269      0.107598      0.000000 
      6.45000        0.0302      0.120719      0.000000 
      6.50000        0.0324      0.129667      0.000000 
      6.55000        0.0333      0.133753      0.000000 
      6.60000        0.0328      0.132632      0.000000 
      6.65000        0.0309      0.126273      0.000000 
      6.70000        0.0277      0.114905      0.000000 
      6.75000        0.0234      0.099105      0.000000 
      6.80000        0.0183      0.079664      0.000000 
      6.85000        0.0127      0.057512      0.000000 
      6.90000        0.0068      0.033616      0.000000 
      6.95000        0.0009      0.008946      0.000000 
      7.00000       -0.0048     -0.015653      0.000000 
      7.05000       -0.0102     -0.039422      0.000000 
      7.10000       -0.0151     -0.061741      0.000000 
      7.15000       -0.0196     -0.082126      0.000000 
      7.20000       -0.0234     -0.100208      0.000000 
      7.25000       -0.0266     -0.115715      0.000000 
      7.30000       -0.0292     -0.128474      0.000000 
      7.35000       -0.0312     -0.138333      0.000000 
      7.40000       -0.0326     -0.145232      0.000000 
      7.45000       -0.0333     -0.149125      0.000000 
      7.50000       -0.0333     -0.149964      0.000000 
      7.55000       -0.0328     -0.147741      0.000000 
      7.60000       -0.0316     -0.142462      0.000000 
      7.65000       -0.0297     -0.134145      0.000000 
      7.70000       -0.0272     -0.122836      0.000000 
      7.75000       -0.0240     -0.108629      0.000000 
      7.80000       -0.0202     -0.091677      0.000000 
      7.85000       -0.0158     -0.072213      0.000000 
      7.90000       -0.0108     -0.050566      0.000000 
      7.95000       -0.0054     -0.027178      0.000000 
      8.00000        0.0004     -0.002618      0.000000 
      8.05000        0.0064      0.022429      0.000000 
      8.10000        0.0124      0.047155      0.000000 
      8.15000        0.0181      0.070672      0.000000 
      8.20000        0.0233      0.092056      0.000000 
      8.25000        0.0277      0.110420      0.000000 
      8.30000        0.0312      0.124966      0.000000 
      8.35000        0.0334      0.135081      0.000000 
      8.40000        0.0344      0.140358      0.000000 
      8.45000        0.0341      0.140679      0.000000 
      8.50000        0.0326      0.136234      0.000000 
      8.55000        0.0300      0.127371      0.000000 
      8.60000        0.0265      0.114687      0.000000 
      8.65000        0.0223      0.098898      0.000000 
      8.70000        0.0177      0.080790      0.000000 
      8.75000        0.0129      0.061161      0.000000 
      8.80000        0.0080      0.040779      0.000000 
      8.85000        0.0032      0.020349      0.000000 
      8.90000       -0.0013      0.000491      0.000000 
      8.95000       -0.0055     -0.018270      0.000000 
      9.00000       -0.0093     -0.035490      0.000000 
      9.05000       -0.0126     -0.050838      0.000000 
      9.10000       -0.0154     -0.064047      0.000000 
      9.15000       -0.0177     -0.074943      0.000000 
      9.20000       -0.0194     -0.083406      0.000000 
      9.25000       -0.0206     -0.089414      0.000000 
      9.30000       -0.0212     -0.092970      0.000000 
      9.35000       -0.0212     -0.094159      0.000000 
      9.40000       -0.0208     -0.093119      0.000000 
      9.45000       -0.0199     -0.090050      0.000000 
      9.50000       -0.0186     -0.085219      0.000000 
      9.55000       -0.0169     -0.078913      0.000000 
      9.60000       -0.0151     -0.071510      0.000000 
      9.65000       -0.0130     -0.063406      0.000000 
      9.70000       -0.0109     -0.054996      0.000000 
      9.75000       -0.0089     -0.046701      0.000000 
      9.80000       -0.0071     -0.038903      0.000000 
      9.85000       -0.0055     -0.031916      0.000000 
      9.90000       -0.0042     -0.025957      0.000000 
      9.95000       -0.0033     -0.021111      0.000000 
     10.00000       -0.0027     -0.017365      0.000000 
     10.05000       -0.0025     -0.014547      0.000000 
     10.10000       -0.0024     -0.012333      0.000000 
     10.15000       -0.0023     -0.010323      0.000000 
     10.20000       -0.0022     -0.008056      0.000000 
     10.25000       -0.0019     -0.005036      0.000000 
     10.30000       -0.0012     -0.000828      0.000000 
     10.35000       -0.0001      0.004928      0.000000 
     10.40000        0.0016      0.012443      0.000000 
     10.45000        0.0039      0.021757      0.000000 
     10.50000        0.0067      0.032696      0.000000 
     10.55000        0.0099      0.044874      0.000000 
     10.60000        0.0134      0.057672      0.000000 
     10.65000        0.0169      0.070295      0.000000 
     10.70000        0.0201      0.081796      0.000000 
     10.75000        0.0228      0.091190      0.000000 
     10.80000        0.0245      0.097537      0.000000 
     10.85000        0.0252      0.100077      0.000000 
     10.90000        0.0246      0.098374      0.000000 
     10.95000        0.0228      0.092415      0.000000 
     11.00000        0.0198      0.082472      0.000000 
     11.05000        0.0161      0.069229      0.000000 
     11.10000        0.0118      0.053600      0.000000 
     11.15000        0.0073      0.036618      0.000000 
     11.20000        0.0029      0.019306      0.000000 
     11.25000       -0.0011      0.002589      0.000000 
     11.30000       -0.0047     -0.012767      0.000000 
     11.35000       -0.0077     -0.026186      0.000000 
     11.40000       -0.0100     -0.037296      0.000000 
     11.45000       -0.0116     -0.045930      0.000000 
     11.50000       -0.0127     -0.052076      0.000000 
     11.55000       -0.0131     -0.055866      0.000000 
     11.60000       -0.0131     -0.057543      0.000000 
     11.65000       -0.0127     -0.057427      0.000000 
     11.70000       -0.0121     -0.055852      0.000000 
     11.75000       -0.0113     -0.053175      0.000000 
     11.80000       -0.0103     -0.049702      0.000000 
     11.85000       -0.0094     -0.045689      0.000000 
     11.90000       -0.0084     -0.041334      0.000000 
     11.95000       -0.0074     -0.036758      0.000000 
     12.00000       -0.0065     -0.032033      0.000000 
     12.05000       -0.0055     -0.027158      0.000000 
     12.10000       -0.0045     -0.022138      0.000000 
     12.15000       -0.0034     -0.016963      0.000000 
     12.20000       -0.0022     -0.011702      0.000000 
     12.25000       -0.0009     -0.006393      0.000000 
     12.30000        0.0004     -0.001201      0.000000 
     12.35000        0.0017      0.003620      0.000000 
     12.40000        0.0028      0.007842      0.000000 
     12.45000        0.0037      0.011178      0.000000 
     12.50000        0.0042      0.013332      0.000000 
     12.55000        0.0044      0.014154      0.000000 
     12.60000        0.0041      0.013519      0.000000 
     12.65000        0.0034      0.011574      0.000000 
     12.70000        0.0023      0.008478      0.000000 
     12.75000        0.0011      0.004665      0.000000 
     12.80000       -0.0002      0.000687      0.000000 
     12.85000       -0.0015     -0.002933      0.000000 
     12.90000       -0.0024     -0.005582      0.000000 
     12.95000       -0.0028     -0.006718      0.000000 
     13.00000       -0.0027     -0.005975      0.000000 
     13.05000       -0.0020     -0.003177      0.000000 
     13.10000       -0.0006      0.001755      0.000000 
     13.15000        0.0014      0.008553      0.000000 
     13.20000        0.0037      0.016780      0.000000 
     13.25000        0.0064      0.025858      0.000000 
     13.30000        0.0090      0.034952      0.000000 
     13.35000        0.0114      0.043281      0.000000 
     13.40000        0.0132      0.049971      0.000000 
     13.45000        0.0144      0.054364      0.000000 
     13.50000        0.0146      0.056021      0.000000 
     13.55000        0.0140      0.054799      0.000000 
     13.60000        0.0126      0.050910      0.000000 
     13.65000        0.0106      0.044803      0.000000 
     13.70000        0.0083      0.037218      0.000000 
     13.75000        0.0059      0.028838      0.000000 
     13.80000        0.0037      0.020438      0.000000 
     13.85000        0.0017      0.012752      0.000000 
     13.90000        0.0002      0.006211      0.000000 
     13.95000       -0.0009      0.001081      0.000000 
     14.00000       -0.0015     -0.002397      0.000000 
     14.05000       -0.0016     -0.004233      0.000000 
     14.10000       -0.0014     -0.004740      0.000000 
     14.15000       -0.0009     -0.004131      0.000000 
     14.20000       -0.0003     -0.002636      0.000000 
     14.25000        0.0003     -0.000748      0.000000 
     14.30000        0.0009      0.001243      0.000000 
     14.35000        0.0015      0.003127      0.000000 
     14.40000        0.0019      0.004703      0.000000 
     14.45000        0.0021      0.005693      0.000000 
     14.50000        0.0022      0.005998      0.000000 
     14.55000        0.0022      0.005591      0.000000 
     14.60000        0.0020      0.004386      0.000000 
     14.65000        0.0015      0.002146      0.000000 
     14.70000        0.0009     -0.001230      0.000000 
     14.75000       -0.0001     -0.005691      0.000000 
     14.80000       -0.0014     -0.011382      0.000000 
     14.85000       -0.0031     -0.018385      0.000000 
     14.90000       -0.0050     -0.026434      0.000000 
     14.95000       -0.0073     -0.035303      0.000000 
     15.00000       -0.0096     -0.044656      0.000000 
     15.05000       -0.0121     -0.054001      0.000000 
     15.10000       -0.0143     -0.062770      0.000000 
     15.15000       -0.0163     -0.070221      0.000000 
     15.20000       -0.0179     -0.076005      0.000000 
     15.25000       -0.0188     -0.079409      0.000000 
     15.30000       -0.0190     -0.079918      0.000000 
     15.35000       -0.0185     -0.077416      0.000000 
     15.40000       -0.0171     -0.071484      0.000000 
     15.45000       -0.0148     -0.062175      0.000000 
     15.50000       -0.0118     -0.049805      0.000000 
     15.55000       -0.0080     -0.034480      0.000000 
     15.60000       -0.0035     -0.016791      0.000000 
     15.65000        0.0013      0.002480      0.000000 
     15.70000        0.0063      0.022554      0.000000 
     15.75000        0.0113      0.042502      0.000000 
     15.80000        0.0160      0.061477      0.000000 
     15.85000        0.0201      0.078512      0.000000 
     15.90000        0.0235      0.092796      0.000000 
     15.95000        0.0260      0.103909      0.000000 
     16.00000        0.0276      0.111378      0.000000 
     16.05000        0.0282      0.115230      0.000000 
     16.10000        0.0279      0.115304      0.000000 
     16.15000        0.0267      0.111655      0.000000 
     16.20000        0.0247      0.104746      0.000000 
     16.25000        0.0220      0.094876      0.000000 
     16.30000        0.0188      0.082429      0.000000 
     16.35000        0.0151      0.068146      0.000000 
     16.40000        0.0113      0.052520      0.000000 
     16.45000        0.0073      0.036438      0.000000 
     16.50000        0.0035      0.020184      0.000000 
     16.55000       -0.0000      0.004532      0.000000 
     16.60000       -0.0033     -0.010213      0.000000 
     16.65000       -0.0062     -0.023677      0.000000 
     16.70000       -0.0087     -0.035868      0.000000 
     16.75000       -0.0108     -0.046544      0.000000 
     16.80000       -0.0126     -0.056021      0.000000 
     16.85000       -0.0142     -0.064079      0.000000 
     16.90000       -0.0155     -0.071067      0.000000 
     16.95000       -0.0167     -0.077196      0.000000 
     17.00000       -0.0177     -0.082457      0.000000 
     17.05000       -0.0186     -0.087026      0.000000 
     17.10000       -0.0195     -0.090655      0.000000 
     17.15000       -0.0201     -0.093713      0.000000 
     17.20000       -0.0207     -0.095789      0.000000 
     17.25000       -0.0210     -0.096886      0.000000 
     17.30000       -0.0211     -0.096837      0.000000 
     17.35000       -0.0209     -0.095273      0.000000 
     17.40000       -0.0203     -0.092330      0.000000 
     17.45000       -0.0194     -0.087610      0.000000 
     17.50000       -0.0180     -0.081238      0.000000 
     17.55000       -0.0162     -0.072943      0.000000 
     17.60000       -0.0139     -0.062825      0.000000 
     17.65000       -0.0113     -0.051022      0.000000 
     17.70000       -0.0082     -0.037624      0.000000 
     17.75000       -0.0048     -0.022761      0.000000 
     17.80000       -0.0011     -0.006813      0.000000 
     17.85000        0.0029      0.009856      0.000000 
     17.90000        0.0069      0.026966      0.000000 
     17.95000        0.0109      0.043974      0.000000 
     18.00000        0.0149      0.060316      0.000000 
     18.05000        0.0185      0.075493      0.000000 
     18.10000        0.0218      0.089020      0.000000 
     18.15000        0.0245      0.100196      0.000000 
     18.20000        0.0265      0.108652      0.000000 
     18.25000        0.0276      0.113879      0.000000 
     18.30000        0.0279      0.115673      0.000000 
     18.35000        0.0273      0.114085      0.000000 
     18.40000        0.0258      0.109059      0.000000 
     18.45000        0.0236      0.100914      0.000000 
     18.50000        0.0208      0.090165      0.000000 
     18.55000        0.0175      0.077231      0.000000 
     18.60000        0.0139      0.062539      0.000000 
     18.65000        0.0101      0.046660      0.000000 
     18.70000        0.0062      0.030084      0.000000 
     18.75000        0.0023      0.013203      0.000000 
     18.80000       -0.0016     -0.003441      0.000000 
     18.85000       -0.0052     -0.019448      0.000000 
     18.90000       -0.0086     -0.034547      0.000000 
     18.95000       -0.0117     -0.048367      0.000000 
     19.00000       -0.0143     -0.060562      0.000000 
     19.05000       -0.0165     -0.070846      0.000000 
     19.10000       -0.0182     -0.079170      0.000000 
     19.15000       -0.0194     -0.085390      0.000000 
     19.20000       -0.0201     -0.089466      0.000000 
     19.25000       -0.0204     -0.091678      0.000000 
     19.30000       -0.0202     -0.091881      0.000000 
