%
%
% Run:      Table:GAUGE3            SWASH version:11.01AB
%
%       Tsec          Watlev      X-vel         Y-vel      
%       [s]           [m]           [m/s]         [m/s]    
%
      0.00000        0.0000      0.000000      0.000000 
      0.05000       -0.0000     -0.000000      0.000000 
      0.10000        0.0000      0.000000      0.000000 
      0.15000        0.0000      0.000000      0.000000 
      0.20000       -0.0000     -0.000000      0.000000 
      0.25000        0.0000      0.000000      0.000000 
      0.30000       -0.0000      0.000000      0.000000 
      0.35000        0.0000      0.000000      0.000000 
      0.40000        0.0000      0.000000      0.000000 
      0.45000       -0.0000     -0.000000      0.000000 
      0.50000       -0.0000     -0.000000      0.000000 
      0.55000       -0.0000     -0.000000      0.000000 
      0.60000       -0.0000     -0.000000      0.000000 
      0.65000       -0.0000     -0.000000      0.000000 
      0.70000       -0.0000      0.000000      0.000000 
      0.75000       -0.0000     -0.000000      0.000000 
      0.80000        0.0000      0.000000      0.000000 
      0.85000        0.0000      0.000000      0.000000 
      0.90000        0.0000     -0.000000      0.000000 
      0.95000       -0.0000     -0.000000      0.000000 
      1.00000       -0.0000     -0.000000      0.000000 
      1.05000       -0.0000     -0.000000      0.000000 
      1.10000       -0.0000     -0.000000      0.000000 
      1.15000       -0.0000     -0.000000      0.000000 
      1.20000       -0.0000     -0.000000      0.000000 
      1.25000        0.0000      0.000000      0.000000 
      1.30000        0.0000     -0.000000      0.000000 
      1.35000        0.0000      0.000000      0.000000 
      1.40000        0.0000      0.000000      0.000000 
      1.45000        0.0000      0.000000      0.000000 
      1.50000        0.0000      0.000000      0.000000 
      1.55000        0.0000      0.000000      0.000000 
      1.60000        0.0000      0.000000      0.000000 
      1.65000        0.0000      0.000000      0.000000 
      1.70000        0.0000      0.000000      0.000000 
      1.75000        0.0000      0.000000      0.000000 
      1.80000        0.0000      0.000000      0.000000 
      1.85000        0.0000      0.000000      0.000000 
      1.90000        0.0000      0.000000      0.000000 
      1.95000        0.0000      0.000000      0.000000 
      2.00000       -0.0000     -0.000000      0.000000 
      2.05000       -0.0000     -0.000000      0.000000 
      2.10000       -0.0000     -0.000000      0.000000 
      2.15000       -0.0000     -0.000000      0.000000 
      2.20000       -0.0000     -0.000000      0.000000 
      2.25000       -0.0000     -0.000000      0.000000 
      2.30000       -0.0000     -0.000000      0.000000 
      2.35000       -0.0000     -0.000000      0.000000 
      2.40000       -0.0000     -0.000000      0.000000 
      2.45000       -0.0000     -0.000000      0.000000 
      2.50000       -0.0000     -0.000000      0.000000 
      2.55000       -0.0000     -0.000000      0.000000 
      2.60000       -0.0000     -0.000000      0.000000 
      2.65000       -0.0000     -0.000000      0.000000 
      2.70000       -0.0000     -0.000000      0.000000 
      2.75000       -0.0000     -0.000000      0.000000 
      2.80000       -0.0000     -0.000000      0.000000 
      2.85000       -0.0000      0.000000      0.000000 
      2.90000        0.0000      0.000000      0.000000 
      2.95000        0.0000      0.000000      0.000000 
      3.00000        0.0000      0.000000      0.000000 
      3.05000        0.0000      0.000000      0.000000 
      3.10000        0.0000      0.000000      0.000000 
      3.15000        0.0000      0.000000      0.000000 
      3.20000        0.0000      0.000000      0.000000 
      3.25000        0.0000      0.000000      0.000000 
      3.30000        0.0000      0.000000      0.000000 
      3.35000        0.0000      0.000000      0.000000 
      3.40000        0.0000      0.000000      0.000000 
      3.45000        0.0000      0.000000      0.000000 
      3.50000        0.0000      0.000000      0.000000 
      3.55000        0.0000      0.000000      0.000000 
      3.60000        0.0000      0.000000      0.000000 
      3.65000        0.0000     -0.000000      0.000000 
      3.70000       -0.0000     -0.000000      0.000000 
      3.75000       -0.0000     -0.000000      0.000000 
      3.80000       -0.0000     -0.000000      0.000000 
      3.85000       -0.0000     -0.000000      0.000000 
      3.90000       -0.0000     -0.000000      0.000000 
      3.95000       -0.0000     -0.000000      0.000000 
      4.00000       -0.0000     -0.000000      0.000000 
      4.05000       -0.0000     -0.000001      0.000000 
      4.10000       -0.0000     -0.000001      0.000000 
      4.15000       -0.0000     -0.000001      0.000000 
      4.20000       -0.0000     -0.000001      0.000000 
      4.25000       -0.0000     -0.000001      0.000000 
      4.30000       -0.0000     -0.000001      0.000000 
      4.35000       -0.0000     -0.000001      0.000000 
      4.40000       -0.0000     -0.000002      0.000000 
      4.45000       -0.0000     -0.000002      0.000000 
      4.50000       -0.0000     -0.000002      0.000000 
      4.55000       -0.0000     -0.000002      0.000000 
      4.60000       -0.0000     -0.000002      0.000000 
      4.65000       -0.0000     -0.000002      0.000000 
      4.70000       -0.0000     -0.000002      0.000000 
      4.75000       -0.0000     -0.000002      0.000000 
      4.80000       -0.0000     -0.000001      0.000000 
      4.85000       -0.0000     -0.000001      0.000000 
      4.90000        0.0000      0.000001      0.000000 
      4.95000        0.0000      0.000002      0.000000 
      5.00000        0.0000      0.000004      0.000000 
      5.05000        0.0000      0.000008      0.000000 
      5.10000        0.0000      0.000012      0.000000 
      5.15000        0.0000      0.000018      0.000000 
      5.20000        0.0000      0.000026      0.000000 
      5.25000        0.0000      0.000037      0.000000 
      5.30000        0.0000      0.000050      0.000000 
      5.35000        0.0000      0.000068      0.000000 
      5.40000        0.0000      0.000091      0.000000 
      5.45000        0.0000      0.000120      0.000000 
      5.50000        0.0000      0.000157      0.000000 
      5.55000        0.0000      0.000203      0.000000 
      5.60000        0.0000      0.000261      0.000000 
      5.65000        0.0001      0.000333      0.000000 
      5.70000        0.0001      0.000422      0.000000 
      5.75000        0.0001      0.000530      0.000000 
      5.80000        0.0001      0.000662      0.000000 
      5.85000        0.0001      0.000823      0.000000 
      5.90000        0.0002      0.001016      0.000000 
      5.95000        0.0002      0.001249      0.000000 
      6.00000        0.0003      0.001526      0.000000 
      6.05000        0.0003      0.001855      0.000000 
      6.10000        0.0004      0.002245      0.000000 
      6.15000        0.0005      0.002704      0.000000 
      6.20000        0.0006      0.003241      0.000000 
      6.25000        0.0007      0.003868      0.000000 
      6.30000        0.0008      0.004595      0.000000 
      6.35000        0.0009      0.005435      0.000000 
      6.40000        0.0011      0.006401      0.000000 
      6.45000        0.0013      0.007504      0.000000 
      6.50000        0.0015      0.008760      0.000000 
      6.55000        0.0018      0.010182      0.000000 
      6.60000        0.0021      0.011781      0.000000 
      6.65000        0.0024      0.013572      0.000000 
      6.70000        0.0028      0.015564      0.000000 
      6.75000        0.0031      0.017765      0.000000 
      6.80000        0.0036      0.020182      0.000000 
      6.85000        0.0041      0.022816      0.000000 
      6.90000        0.0046      0.025664      0.000000 
      6.95000        0.0051      0.028718      0.000000 
      7.00000        0.0057      0.031962      0.000000 
      7.05000        0.0063      0.035372      0.000000 
      7.10000        0.0070      0.038916      0.000000 
      7.15000        0.0077      0.042553      0.000000 
      7.20000        0.0083      0.046230      0.000000 
      7.25000        0.0090      0.049886      0.000000 
      7.30000        0.0097      0.053450      0.000000 
      7.35000        0.0103      0.056841      0.000000 
      7.40000        0.0109      0.059974      0.000000 
      7.45000        0.0114      0.062756      0.000000 
      7.50000        0.0119      0.065096      0.000000 
      7.55000        0.0122      0.066901      0.000000 
      7.60000        0.0124      0.068088      0.000000 
      7.65000        0.0125      0.068577      0.000000 
      7.70000        0.0125      0.068308      0.000000 
      7.75000        0.0123      0.067232      0.000000 
      7.80000        0.0120      0.065320      0.000000 
      7.85000        0.0115      0.062561      0.000000 
      7.90000        0.0108      0.058965      0.000000 
      7.95000        0.0100      0.054562      0.000000 
      8.00000        0.0091      0.049397      0.000000 
      8.05000        0.0080      0.043535      0.000000 
      8.10000        0.0068      0.037049      0.000000 
      8.15000        0.0056      0.030024      0.000000 
      8.20000        0.0042      0.022552      0.000000 
      8.25000        0.0028      0.014727      0.000000 
      8.30000        0.0014      0.006647      0.000000 
      8.35000       -0.0000     -0.001592      0.000000 
      8.40000       -0.0015     -0.009895      0.000000 
      8.45000       -0.0030     -0.018169      0.000000 
      8.50000       -0.0044     -0.026321      0.000000 
      8.55000       -0.0058     -0.034261      0.000000 
      8.60000       -0.0071     -0.041898      0.000000 
      8.65000       -0.0084     -0.049140      0.000000 
      8.70000       -0.0095     -0.055889      0.000000 
      8.75000       -0.0106     -0.062044      0.000000 
      8.80000       -0.0115     -0.067495      0.000000 
      8.85000       -0.0124     -0.072122      0.000000 
      8.90000       -0.0130     -0.075790      0.000000 
      8.95000       -0.0135     -0.078351      0.000000 
      9.00000       -0.0137     -0.079639      0.000000 
      9.05000       -0.0137     -0.079472      0.000000 
      9.10000       -0.0134     -0.077648      0.000000 
      9.15000       -0.0128     -0.073966      0.000000 
      9.20000       -0.0118     -0.068204      0.000000 
      9.25000       -0.0104     -0.060158      0.000000 
      9.30000       -0.0086     -0.049646      0.000000 
      9.35000       -0.0063     -0.036547      0.000000 
      9.40000       -0.0035     -0.020825      0.000000 
      9.45000       -0.0001     -0.002570      0.000000 
      9.50000        0.0037      0.017933      0.000000 
      9.55000        0.0079      0.040193      0.000000 
      9.60000        0.0124      0.063472      0.000000 
      9.65000        0.0169      0.086756      0.000000 
      9.70000        0.0213      0.108802      0.000000 
      9.75000        0.0252      0.128229      0.000000 
      9.80000        0.0282      0.143642      0.000000 
      9.85000        0.0301      0.153784      0.000000 
      9.90000        0.0306      0.157720      0.000000 
      9.95000        0.0299      0.155185      0.000000 
     10.00000        0.0278      0.146309      0.000000 
     10.05000        0.0246      0.131735      0.000000 
     10.10000        0.0205      0.112509      0.000000 
     10.15000        0.0160      0.089890      0.000000 
     10.20000        0.0112      0.065166      0.000000 
     10.25000        0.0065      0.039512      0.000000 
     10.30000        0.0018      0.013916      0.000000 
     10.35000       -0.0025     -0.010868      0.000000 
     10.40000       -0.0066     -0.034304      0.000000 
     10.45000       -0.0102     -0.056062      0.000000 
     10.50000       -0.0136     -0.075968      0.000000 
     10.55000       -0.0165     -0.093955      0.000000 
     10.60000       -0.0191     -0.110027      0.000000 
     10.65000       -0.0214     -0.124223      0.000000 
     10.70000       -0.0235     -0.136579      0.000000 
     10.75000       -0.0252     -0.147115      0.000000 
     10.80000       -0.0266     -0.155812      0.000000 
     10.85000       -0.0277     -0.162600      0.000000 
     10.90000       -0.0285     -0.167352      0.000000 
     10.95000       -0.0290     -0.169875      0.000000 
     11.00000       -0.0291     -0.169897      0.000000 
     11.05000       -0.0286     -0.167046      0.000000 
     11.10000       -0.0277     -0.160942      0.000000 
     11.15000       -0.0261     -0.151067      0.000000 
     11.20000       -0.0238     -0.136880      0.000000 
     11.25000       -0.0207     -0.117841      0.000000 
     11.30000       -0.0165     -0.093475      0.000000 
     11.35000       -0.0112     -0.063508      0.000000 
     11.40000       -0.0048     -0.027988      0.000000 
     11.45000        0.0028      0.012518      0.000000 
     11.50000        0.0115      0.056788      0.000000 
     11.55000        0.0208      0.102763      0.000000 
     11.60000        0.0301      0.147493      0.000000 
     11.65000        0.0385      0.187341      0.000000 
     11.70000        0.0448      0.218229      0.000000 
     11.75000        0.0482      0.236365      0.000000 
     11.80000        0.0481      0.240136      0.000000 
     11.85000        0.0448      0.229461      0.000000 
     11.90000        0.0389      0.206189      0.000000 
     11.95000        0.0313      0.173445      0.000000 
     12.00000        0.0231      0.134968      0.000000 
     12.05000        0.0150      0.094196      0.000000 
     12.10000        0.0074      0.054019      0.000000 
     12.15000        0.0007      0.016362      0.000000 
     12.20000       -0.0050     -0.017496      0.000000 
     12.25000       -0.0098     -0.046983      0.000000 
     12.30000       -0.0137     -0.071994      0.000000 
     12.35000       -0.0169     -0.092748      0.000000 
     12.40000       -0.0195     -0.109630      0.000000 
     12.45000       -0.0215     -0.123088      0.000000 
     12.50000       -0.0231     -0.133581      0.000000 
     12.55000       -0.0242     -0.141521      0.000000 
     12.60000       -0.0251     -0.147233      0.000000 
     12.65000       -0.0256     -0.150990      0.000000 
     12.70000       -0.0259     -0.152981      0.000000 
     12.75000       -0.0259     -0.153319      0.000000 
     12.80000       -0.0257     -0.152099      0.000000 
     12.85000       -0.0252     -0.149355      0.000000 
     12.90000       -0.0245     -0.145086      0.000000 
     12.95000       -0.0235     -0.139263      0.000000 
     13.00000       -0.0223     -0.131846      0.000000 
     13.05000       -0.0208     -0.122789      0.000000 
     13.10000       -0.0190     -0.112060      0.000000 
     13.15000       -0.0168     -0.099643      0.000000 
     13.20000       -0.0144     -0.085567      0.000000 
     13.25000       -0.0117     -0.069914      0.000000 
     13.30000       -0.0087     -0.052839      0.000000 
     13.35000       -0.0054     -0.034576      0.000000 
     13.40000       -0.0020     -0.015468      0.000000 
     13.45000        0.0016      0.004047      0.000000 
     13.50000        0.0052      0.023436      0.000000 
     13.55000        0.0086      0.042094      0.000000 
     13.60000        0.0118      0.059377      0.000000 
     13.65000        0.0146      0.074657      0.000000 
     13.70000        0.0169      0.087377      0.000000 
     13.75000        0.0185      0.097118      0.000000 
     13.80000        0.0196      0.103633      0.000000 
     13.85000        0.0200      0.106888      0.000000 
     13.90000        0.0198      0.107074      0.000000 
     13.95000        0.0191      0.104538      0.000000 
     14.00000        0.0180      0.099756      0.000000 
     14.05000        0.0166      0.093266      0.000000 
     14.10000        0.0151      0.085623      0.000000 
     14.15000        0.0135      0.077339      0.000000 
     14.20000        0.0119      0.068835      0.000000 
     14.25000        0.0104      0.060442      0.000000 
     14.30000        0.0090      0.052376      0.000000 
     14.35000        0.0078      0.044741      0.000000 
     14.40000        0.0066      0.037552      0.000000 
     14.45000        0.0055      0.030755      0.000000 
     14.50000        0.0044      0.024223      0.000000 
     14.55000        0.0034      0.017812      0.000000 
     14.60000        0.0023      0.011365      0.000000 
     14.65000        0.0012      0.004727      0.000000 
     14.70000       -0.0000     -0.002226      0.000000 
     14.75000       -0.0013     -0.009580      0.000000 
     14.80000       -0.0027     -0.017369      0.000000 
     14.85000       -0.0041     -0.025571      0.000000 
     14.90000       -0.0057     -0.034112      0.000000 
     14.95000       -0.0072     -0.042858      0.000000 
     15.00000       -0.0088     -0.051632      0.000000 
     15.05000       -0.0104     -0.060206      0.000000 
     15.10000       -0.0118     -0.068325      0.000000 
     15.15000       -0.0132     -0.075713      0.000000 
     15.20000       -0.0143     -0.082070      0.000000 
     15.25000       -0.0152     -0.087096      0.000000 
     15.30000       -0.0159     -0.090477      0.000000 
     15.35000       -0.0161     -0.091932      0.000000 
     15.40000       -0.0160     -0.091177      0.000000 
     15.45000       -0.0155     -0.087976      0.000000 
     15.50000       -0.0144     -0.082164      0.000000 
     15.55000       -0.0129     -0.073632      0.000000 
     15.60000       -0.0109     -0.062396      0.000000 
     15.65000       -0.0083     -0.048599      0.000000 
     15.70000       -0.0053     -0.032571      0.000000 
     15.75000       -0.0020     -0.014854      0.000000 
     15.80000        0.0016      0.003839      0.000000 
     15.85000        0.0052      0.022526      0.000000 
     15.90000        0.0087      0.040178      0.000000 
     15.95000        0.0116      0.055594      0.000000 
     16.00000        0.0139      0.067684      0.000000 
     16.05000        0.0153      0.075550      0.000000 
     16.10000        0.0156      0.078698      0.000000 
     16.15000        0.0150      0.077119      0.000000 
     16.20000        0.0134      0.071180      0.000000 
     16.25000        0.0112      0.061730      0.000000 
     16.30000        0.0087      0.049871      0.000000 
     16.35000        0.0059      0.036890      0.000000 
     16.40000        0.0034      0.024004      0.000000 
     16.45000        0.0011      0.012376      0.000000 
     16.50000       -0.0006      0.002925      0.000000 
     16.55000       -0.0017     -0.003676      0.000000 
     16.60000       -0.0022     -0.007008      0.000000 
     16.65000       -0.0019     -0.006906      0.000000 
     16.70000       -0.0011     -0.003526      0.000000 
     16.75000        0.0004      0.002814      0.000000 
     16.80000        0.0022      0.011487      0.000000 
     16.85000        0.0044      0.021750      0.000000 
     16.90000        0.0067      0.032631      0.000000 
     16.95000        0.0088      0.043130      0.000000 
     17.00000        0.0107      0.052204      0.000000 
     17.05000        0.0119      0.058924      0.000000 
     17.10000        0.0126      0.062601      0.000000 
     17.15000        0.0125      0.062826      0.000000 
     17.20000        0.0116      0.059561      0.000000 
     17.25000        0.0101      0.053099      0.000000 
     17.30000        0.0082      0.044014      0.000000 
     17.35000        0.0059      0.033046      0.000000 
     17.40000        0.0035      0.021085      0.000000 
     17.45000        0.0012      0.008903      0.000000 
     17.50000       -0.0010     -0.002723      0.000000 
     17.55000       -0.0028     -0.013263      0.000000 
     17.60000       -0.0044     -0.022288      0.000000 
     17.65000       -0.0056     -0.029572      0.000000 
     17.70000       -0.0064     -0.035069      0.000000 
     17.75000       -0.0069     -0.038846      0.000000 
     17.80000       -0.0072     -0.041092      0.000000 
     17.85000       -0.0072     -0.042057      0.000000 
     17.90000       -0.0070     -0.042037      0.000000 
     17.95000       -0.0068     -0.041361      0.000000 
     18.00000       -0.0066     -0.040309      0.000000 
     18.05000       -0.0063     -0.039137      0.000000 
     18.10000       -0.0061     -0.038020      0.000000 
     18.15000       -0.0060     -0.037091      0.000000 
     18.20000       -0.0059     -0.036380      0.000000 
     18.25000       -0.0059     -0.035869      0.000000 
     18.30000       -0.0059     -0.035462      0.000000 
     18.35000       -0.0059     -0.035038      0.000000 
     18.40000       -0.0059     -0.034448      0.000000 
     18.45000       -0.0058     -0.033542      0.000000 
     18.50000       -0.0055     -0.032198      0.000000 
     18.55000       -0.0052     -0.030311      0.000000 
     18.60000       -0.0048     -0.027814      0.000000 
     18.65000       -0.0042     -0.024677      0.000000 
     18.70000       -0.0036     -0.020894      0.000000 
     18.75000       -0.0028     -0.016478      0.000000 
     18.80000       -0.0019     -0.011425      0.000000 
     18.85000       -0.0009     -0.005729      0.000000 
     18.90000        0.0002      0.000657      0.000000 
     18.95000        0.0014      0.007841      0.000000 
     19.00000        0.0027      0.015952      0.000000 
     19.05000        0.0043      0.025171      0.000000 
     19.10000        0.0061      0.035679      0.000000 
     19.15000        0.0083      0.047560      0.000000 
     19.20000        0.0107      0.060891      0.000000 
     19.25000        0.0135      0.075462      0.000000 
     19.30000        0.0166      0.090902      0.000000 
     19.35000        0.0198      0.106456      0.000000 
     19.40000        0.0228      0.121144      0.000000 
