%
%
% Run:      Table:GAUGE1            SWASH version:11.01AB
%
%       Tsec          Watlev      X-vel         Y-vel      
%       [s]           [m]           [m/s]         [m/s]    
%
      0.00000        0.0000      0.000000      0.000000 
      0.05000       -0.0000     -0.000006      0.000000 
      0.10000       -0.0000     -0.000001      0.000000 
      0.15000       -0.0000     -0.000007      0.000000 
      0.20000       -0.0000     -0.000009      0.000000 
      0.25000       -0.0000     -0.000008      0.000000 
      0.30000       -0.0000     -0.000017      0.000000 
      0.35000       -0.0000     -0.000022      0.000000 
      0.40000       -0.0000     -0.000030      0.000000 
      0.45000       -0.0000     -0.000014      0.000000 
      0.50000       -0.0000     -0.000039      0.000000 
      0.55000       -0.0000     -0.000130      0.000000 
      0.60000       -0.0000     -0.000209      0.000000 
      0.65000       -0.0000     -0.000247      0.000000 
      0.70000       -0.0001     -0.000305      0.000000 
      0.75000       -0.0001     -0.000385      0.000000 
      0.80000       -0.0001     -0.000516      0.000000 
      0.85000       -0.0001     -0.000677      0.000000 
      0.90000       -0.0002     -0.000881      0.000000 
      0.95000       -0.0002     -0.001095      0.000000 
      1.00000       -0.0003     -0.001349      0.000000 
      1.05000       -0.0004     -0.001655      0.000000 
      1.10000       -0.0004     -0.001986      0.000000 
      1.15000       -0.0005     -0.002341      0.000000 
      1.20000       -0.0006     -0.002690      0.000000 
      1.25000       -0.0007     -0.003028      0.000000 
      1.30000       -0.0008     -0.003344      0.000000 
      1.35000       -0.0009     -0.003566      0.000000 
      1.40000       -0.0009     -0.003665      0.000000 
      1.45000       -0.0010     -0.003570      0.000000 
      1.50000       -0.0009     -0.003198      0.000000 
      1.55000       -0.0008     -0.002455      0.000000 
      1.60000       -0.0006     -0.001231      0.000000 
      1.65000       -0.0003      0.000604      0.000000 
      1.70000        0.0002      0.003198      0.000000 
      1.75000        0.0009      0.006707      0.000000 
      1.80000        0.0019      0.011305      0.000000 
      1.85000        0.0032      0.017157      0.000000 
      1.90000        0.0048      0.024427      0.000000 
      1.95000        0.0068      0.033256      0.000000 
      2.00000        0.0092      0.043749      0.000000 
      2.05000        0.0121      0.055951      0.000000 
      2.10000        0.0155      0.069841      0.000000 
      2.15000        0.0193      0.085299      0.000000 
      2.20000        0.0235      0.102054      0.000000 
      2.25000        0.0282      0.119744      0.000000 
      2.30000        0.0330      0.137813      0.000000 
      2.35000        0.0379      0.155568      0.000000 
      2.40000        0.0425      0.172160      0.000000 
      2.45000        0.0467      0.186638      0.000000 
      2.50000        0.0501      0.197970      0.000000 
      2.55000        0.0523      0.205168      0.000000 
      2.60000        0.0531      0.207296      0.000000 
