%
%
% Run:      Table:GAUGE2            SWASH version:11.01AB
%
%       Tsec          Watlev      X-vel         Y-vel      
%       [s]           [m]           [m/s]         [m/s]    
%
      0.00000        0.0000      0.000000      0.000000 
      0.05000       -0.0000     -0.000000      0.000000 
      0.10000        0.0000     -0.000000      0.000000 
      0.15000       -0.0000     -0.000000      0.000000 
      0.20000       -0.0000     -0.000000      0.000000 
      0.25000       -0.0000     -0.000000      0.000000 
      0.30000       -0.0000     -0.000000      0.000000 
      0.35000       -0.0000     -0.000000      0.000000 
      0.40000        0.0000     -0.000000      0.000000 
      0.45000       -0.0000      0.000001      0.000000 
      0.50000       -0.0000      0.000001      0.000000 
      0.55000       -0.0000     -0.000003      0.000000 
      0.60000        0.0000     -0.000005      0.000000 
      0.65000        0.0000      0.000005      0.000000 
      0.70000        0.0000      0.000006      0.000000 
      0.75000       -0.0000     -0.000019      0.000000 
      0.80000       -0.0000     -0.000031      0.000000 
      0.85000        0.0000     -0.000021      0.000000 
      0.90000       -0.0000     -0.000007      0.000000 
      0.95000        0.0000      0.000008      0.000000 
      1.00000        0.0000      0.000038      0.000000 
      1.05000        0.0000      0.000016      0.000000 
      1.10000        0.0000      0.000007      0.000000 
      1.15000        0.0000     -0.000011      0.000000 
      1.20000        0.0000      0.000011      0.000000 
      1.25000        0.0000      0.000024      0.000000 
      1.30000        0.0000      0.000007      0.000000 
      1.35000        0.0000      0.000005      0.000000 
      1.40000        0.0000      0.000001      0.000000 
      1.45000       -0.0000     -0.000004      0.000000 
      1.50000       -0.0000     -0.000006      0.000000 
      1.55000       -0.0000     -0.000006      0.000000 
      1.60000       -0.0000     -0.000011      0.000000 
      1.65000       -0.0000     -0.000017      0.000000 
      1.70000       -0.0000     -0.000020      0.000000 
      1.75000       -0.0000     -0.000026      0.000000 
      1.80000       -0.0000     -0.000031      0.000000 
      1.85000       -0.0000     -0.000038      0.000000 
      1.90000       -0.0000     -0.000046      0.000000 
      1.95000       -0.0000     -0.000055      0.000000 
      2.00000       -0.0000     -0.000066      0.000000 
      2.05000       -0.0000     -0.000079      0.000000 
      2.10000       -0.0000     -0.000095      0.000000 
      2.15000       -0.0000     -0.000114      0.000000 
      2.20000       -0.0000     -0.000137      0.000000 
      2.25000       -0.0000     -0.000164      0.000000 
      2.30000       -0.0000     -0.000195      0.000000 
      2.35000       -0.0000     -0.000231      0.000000 
      2.40000       -0.0001     -0.000270      0.000000 
      2.45000       -0.0001     -0.000314      0.000000 
      2.50000       -0.0001     -0.000360      0.000000 
      2.55000       -0.0001     -0.000408      0.000000 
      2.60000       -0.0001     -0.000454      0.000000 
      2.65000       -0.0001     -0.000497      0.000000 
      2.70000       -0.0001     -0.000530      0.000000 
      2.75000       -0.0001     -0.000549      0.000000 
      2.80000       -0.0001     -0.000544      0.000000 
      2.85000       -0.0001     -0.000507      0.000000 
      2.90000       -0.0001     -0.000424      0.000000 
      2.95000       -0.0001     -0.000279      0.000000 
      3.00000       -0.0001     -0.000054      0.000000 
      3.05000        0.0000      0.000275      0.000000 
      3.10000        0.0001      0.000736      0.000000 
      3.15000        0.0002      0.001361      0.000000 
      3.20000        0.0004      0.002189      0.000000 
      3.25000        0.0006      0.003263      0.000000 
      3.30000        0.0009      0.004633      0.000000 
      3.35000        0.0012      0.006355      0.000000 
      3.40000        0.0017      0.008489      0.000000 
      3.45000        0.0022      0.011106      0.000000 
      3.50000        0.0029      0.014270      0.000000 
      3.55000        0.0037      0.018058      0.000000 
      3.60000        0.0046      0.022542      0.000000 
      3.65000        0.0058      0.027792      0.000000 
      3.70000        0.0071      0.033872      0.000000 
      3.75000        0.0086      0.040831      0.000000 
      3.80000        0.0104      0.048702      0.000000 
      3.85000        0.0124      0.057492      0.000000 
      3.90000        0.0146      0.067175      0.000000 
      3.95000        0.0170      0.077679      0.000000 
      4.00000        0.0196      0.088890      0.000000 
      4.05000        0.0224      0.100631      0.000000 
      4.10000        0.0253      0.112665      0.000000 
      4.15000        0.0282      0.124692      0.000000 
      4.20000        0.0311      0.136353      0.000000 
      4.25000        0.0338      0.147231      0.000000 
      4.30000        0.0363      0.156877      0.000000 
      4.35000        0.0383      0.164824      0.000000 
      4.40000        0.0398      0.170602      0.000000 
      4.45000        0.0407      0.173816      0.000000 
      4.50000        0.0408      0.174089      0.000000 
      4.55000        0.0401      0.171182      0.000000 
      4.60000        0.0386      0.164990      0.000000 
      4.65000        0.0363      0.155480      0.000000 
      4.70000        0.0332      0.142812      0.000000 
      4.75000        0.0294      0.127235      0.000000 
      4.80000        0.0250      0.109091      0.000000 
      4.85000        0.0202      0.088827      0.000000 
      4.90000        0.0151      0.066900      0.000000 
      4.95000        0.0097      0.043784      0.000000 
      5.00000        0.0043      0.019973      0.000000 
      5.05000       -0.0011     -0.004109      0.000000 
      5.10000       -0.0064     -0.028070      0.000000 
      5.15000       -0.0115     -0.051520      0.000000 
      5.20000       -0.0164     -0.074194      0.000000 
      5.25000       -0.0210     -0.095828      0.000000 
      5.30000       -0.0254     -0.116116      0.000000 
      5.35000       -0.0293     -0.134957      0.000000 
      5.40000       -0.0329     -0.152091      0.000000 
      5.45000       -0.0362     -0.167308      0.000000 
      5.50000       -0.0389     -0.180445      0.000000 
      5.55000       -0.0412     -0.191172      0.000000 
      5.60000       -0.0430     -0.199313      0.000000 
      5.65000       -0.0442     -0.204423      0.000000 
      5.70000       -0.0448     -0.206201      0.000000 
      5.75000       -0.0445     -0.204130      0.000000 
      5.80000       -0.0435     -0.197712      0.000000 
      5.85000       -0.0414     -0.186365      0.000000 
      5.90000       -0.0381     -0.169520      0.000000 
      5.95000       -0.0335     -0.146587      0.000000 
      6.00000       -0.0274     -0.117035      0.000000 
      6.05000       -0.0195     -0.080626      0.000000 
      6.10000       -0.0098     -0.037359      0.000000 
      6.15000        0.0018      0.012353      0.000000 
      6.20000        0.0154      0.067326      0.000000 
      6.25000        0.0306      0.125777      0.000000 
      6.30000        0.0467      0.185032      0.000000 
      6.35000        0.0628      0.241290      0.000000 
      6.40000        0.0771      0.290127      0.000000 
      6.45000        0.0877      0.326661      0.000000 
      6.50000        0.0926      0.345972      0.000000 
      6.55000        0.0910      0.345278      0.000000 
      6.60000        0.0833      0.325066      0.000000 
      6.65000        0.0706      0.286888      0.000000 
      6.70000        0.0548      0.235298      0.000000 
      6.75000        0.0379      0.175075      0.000000 
      6.80000        0.0211      0.110900      0.000000 
      6.85000        0.0055      0.046506      0.000000 
      6.90000       -0.0085     -0.015330      0.000000 
      6.95000       -0.0208     -0.072694      0.000000 
      7.00000       -0.0314     -0.124495      0.000000 
      7.05000       -0.0403     -0.170201      0.000000 
      7.10000       -0.0478     -0.209782      0.000000 
      7.15000       -0.0540     -0.243484      0.000000 
      7.20000       -0.0592     -0.271668      0.000000 
      7.25000       -0.0634     -0.294874      0.000000 
      7.30000       -0.0667     -0.313488      0.000000 
      7.35000       -0.0693     -0.327971      0.000000 
      7.40000       -0.0712     -0.338544      0.000000 
      7.45000       -0.0725     -0.345472      0.000000 
      7.50000       -0.0732     -0.348746      0.000000 
      7.55000       -0.0731     -0.348313      0.000000 
      7.60000       -0.0724     -0.344029      0.000000 
      7.65000       -0.0709     -0.335499      0.000000 
      7.70000       -0.0685     -0.322302      0.000000 
      7.75000       -0.0651     -0.303875      0.000000 
      7.80000       -0.0605     -0.279616      0.000000 
      7.85000       -0.0545     -0.248825      0.000000 
      7.90000       -0.0469     -0.210912      0.000000 
      7.95000       -0.0375     -0.165418      0.000000 
      8.00000       -0.0260     -0.112179      0.000000 
      8.05000       -0.0123     -0.051533      0.000000 
      8.10000        0.0037      0.015476      0.000000 
      8.15000        0.0217      0.086952      0.000000 
      8.20000        0.0410      0.159977      0.000000 
      8.25000        0.0605      0.230468      0.000000 
      8.30000        0.0784      0.293292      0.000000 
      8.35000        0.0925      0.342870      0.000000 
      8.40000        0.1004      0.373770      0.000000 
      8.45000        0.1011      0.382577      0.000000 
      8.50000        0.0948      0.369513      0.000000 
      8.55000        0.0829      0.336527      0.000000 
      8.60000        0.0674      0.288030      0.000000 
      8.65000        0.0502      0.229210      0.000000 
      8.70000        0.0329      0.164965      0.000000 
      8.75000        0.0165      0.099517      0.000000 
      8.80000        0.0017      0.036034      0.000000 
      8.85000       -0.0112     -0.023062      0.000000 
      8.90000       -0.0224     -0.076240      0.000000 
      8.95000       -0.0317     -0.122712      0.000000 
      9.00000       -0.0393     -0.162102      0.000000 
      9.05000       -0.0454     -0.194454      0.000000 
      9.10000       -0.0501     -0.220002      0.000000 
      9.15000       -0.0536     -0.239103      0.000000 
      9.20000       -0.0558     -0.252161      0.000000 
      9.25000       -0.0570     -0.259606      0.000000 
      9.30000       -0.0571     -0.261713      0.000000 
      9.35000       -0.0563     -0.258925      0.000000 
      9.40000       -0.0545     -0.251549      0.000000 
      9.45000       -0.0518     -0.240007      0.000000 
      9.50000       -0.0483     -0.224672      0.000000 
      9.55000       -0.0439     -0.206112      0.000000 
      9.60000       -0.0389     -0.184829      0.000000 
      9.65000       -0.0334     -0.161641      0.000000 
      9.70000       -0.0276     -0.137371      0.000000 
      9.75000       -0.0218     -0.112951      0.000000 
      9.80000       -0.0161     -0.089438      0.000000 
      9.85000       -0.0110     -0.067835      0.000000 
      9.90000       -0.0068     -0.048903      0.000000 
      9.95000       -0.0036     -0.033359      0.000000 
     10.00000       -0.0015     -0.021395      0.000000 
     10.05000       -0.0005     -0.012880      0.000000 
     10.10000       -0.0004     -0.007024      0.000000 
     10.15000       -0.0007     -0.002707      0.000000 
     10.20000       -0.0011      0.001462      0.000000 
     10.25000       -0.0011      0.007101      0.000000 
     10.30000       -0.0001      0.015738      0.000000 
     10.35000        0.0022      0.028765      0.000000 
     10.40000        0.0061      0.047078      0.000000 
     10.45000        0.0120      0.071016      0.000000 
     10.50000        0.0198      0.100165      0.000000 
     10.55000        0.0292      0.133645      0.000000 
     10.60000        0.0398      0.169334      0.000000 
     10.65000        0.0505      0.204254      0.000000 
     10.70000        0.0600      0.234669      0.000000 
     10.75000        0.0666      0.256315      0.000000 
     10.80000        0.0689      0.265486      0.000000 
     10.85000        0.0664      0.260089      0.000000 
     10.90000        0.0596      0.241037      0.000000 
     10.95000        0.0495      0.209987      0.000000 
     11.00000        0.0377      0.170750      0.000000 
     11.05000        0.0255      0.127154      0.000000 
     11.10000        0.0140      0.082691      0.000000 
     11.15000        0.0037      0.040049      0.000000 
     11.20000       -0.0051      0.001075      0.000000 
     11.25000       -0.0122     -0.033078      0.000000 
     11.30000       -0.0179     -0.061911      0.000000 
     11.35000       -0.0221     -0.085285      0.000000 
     11.40000       -0.0252     -0.103489      0.000000 
     11.45000       -0.0273     -0.116973      0.000000 
     11.50000       -0.0286     -0.126133      0.000000 
     11.55000       -0.0292     -0.131583      0.000000 
     11.60000       -0.0293     -0.133932      0.000000 
     11.65000       -0.0290     -0.133472      0.000000 
     11.70000       -0.0283     -0.130478      0.000000 
     11.75000       -0.0272     -0.125187      0.000000 
     11.80000       -0.0257     -0.117593      0.000000 
     11.85000       -0.0237     -0.107761      0.000000 
     11.90000       -0.0212     -0.095557      0.000000 
     11.95000       -0.0181     -0.081251      0.000000 
     12.00000       -0.0144     -0.064436      0.000000 
     12.05000       -0.0101     -0.045936      0.000000 
     12.10000       -0.0052     -0.025840      0.000000 
     12.15000        0.0000     -0.005057      0.000000 
     12.20000        0.0055      0.015589      0.000000 
     12.25000        0.0106      0.034870      0.000000 
     12.30000        0.0151      0.051385      0.000000 
     12.35000        0.0185      0.064050      0.000000 
     12.40000        0.0202      0.071345      0.000000 
     12.45000        0.0201      0.072670      0.000000 
     12.50000        0.0181      0.068070      0.000000 
     12.55000        0.0146      0.058188      0.000000 
     12.60000        0.0100      0.044488      0.000000 
     12.65000        0.0049      0.028804      0.000000 
     12.70000        0.0001      0.013128      0.000000 
     12.75000       -0.0040     -0.000329      0.000000 
     12.80000       -0.0069     -0.010003      0.000000 
     12.85000       -0.0081     -0.014302      0.000000 
     12.90000       -0.0076     -0.012365      0.000000 
     12.95000       -0.0052     -0.003971      0.000000 
     13.00000       -0.0009      0.010887      0.000000 
     13.05000        0.0049      0.031052      0.000000 
     13.10000        0.0121      0.055625      0.000000 
     13.15000        0.0200      0.082472      0.000000 
     13.20000        0.0278      0.108951      0.000000 
     13.25000        0.0346      0.132689      0.000000 
     13.30000        0.0395      0.150904      0.000000 
     13.35000        0.0418      0.161448      0.000000 
     13.40000        0.0415      0.163548      0.000000 
     13.45000        0.0387      0.157784      0.000000 
     13.50000        0.0342      0.145293      0.000000 
     13.55000        0.0286      0.128052      0.000000 
     13.60000        0.0227      0.108226      0.000000 
     13.65000        0.0171      0.087812      0.000000 
     13.70000        0.0122      0.068384      0.000000 
     13.75000        0.0083      0.051194      0.000000 
     13.80000        0.0053      0.036870      0.000000 
     13.85000        0.0032      0.025756      0.000000 
     13.90000        0.0020      0.017930      0.000000 
     13.95000        0.0015      0.013253      0.000000 
     14.00000        0.0017      0.011325      0.000000 
     14.05000        0.0023      0.011853      0.000000 
     14.10000        0.0034      0.014294      0.000000 
     14.15000        0.0048      0.018291      0.000000 
     14.20000        0.0064      0.023329      0.000000 
     14.25000        0.0082      0.028925      0.000000 
     14.30000        0.0101      0.034567      0.000000 
     14.35000        0.0120      0.039521      0.000000 
     14.40000        0.0136      0.043475      0.000000 
     14.45000        0.0148      0.044978      0.000000 
     14.50000        0.0153      0.044014      0.000000 
     14.55000        0.0148      0.039309      0.000000 
     14.60000        0.0132      0.030426      0.000000 
     14.65000        0.0104      0.017339      0.000000 
     14.70000        0.0065      0.000012      0.000000 
     14.75000        0.0015     -0.021061      0.000000 
     14.80000       -0.0043     -0.045047      0.000000 
     14.85000       -0.0105     -0.070673      0.000000 
     14.90000       -0.0167     -0.097046      0.000000 
     14.95000       -0.0228     -0.122841      0.000000 
     15.00000       -0.0284     -0.146316      0.000000 
     15.05000       -0.0334     -0.167394      0.000000 
     15.10000       -0.0375     -0.184732      0.000000 
     15.15000       -0.0407     -0.196654      0.000000 
     15.20000       -0.0428     -0.203805      0.000000 
     15.25000       -0.0437     -0.204846      0.000000 
     15.30000       -0.0434     -0.199551      0.000000 
     15.35000       -0.0418     -0.187455      0.000000 
     15.40000       -0.0388     -0.168395      0.000000 
     15.45000       -0.0343     -0.142108      0.000000 
     15.50000       -0.0283     -0.108769      0.000000 
     15.55000       -0.0206     -0.068852      0.000000 
     15.60000       -0.0113     -0.022968      0.000000 
     15.65000       -0.0006      0.027725      0.000000 
     15.70000        0.0112      0.081414      0.000000 
     15.75000        0.0237      0.135938      0.000000 
     15.80000        0.0361      0.188487      0.000000 
     15.85000        0.0475      0.235900      0.000000 
     15.90000        0.0568      0.275041      0.000000 
     15.95000        0.0632      0.303024      0.000000 
     16.00000        0.0659      0.318122      0.000000 
     16.05000        0.0652      0.319565      0.000000 
     16.10000        0.0613      0.308390      0.000000 
     16.15000        0.0549      0.286011      0.000000 
     16.20000        0.0469      0.254962      0.000000 
     16.25000        0.0380      0.217729      0.000000 
     16.30000        0.0290      0.176534      0.000000 
     16.35000        0.0202      0.133524      0.000000 
     16.40000        0.0119      0.090315      0.000000 
     16.45000        0.0044      0.048258      0.000000 
     16.50000       -0.0024      0.008316      0.000000 
     16.55000       -0.0083     -0.028806      0.000000 
     16.60000       -0.0136     -0.062638      0.000000 
     16.65000       -0.0182     -0.092954      0.000000 
     16.70000       -0.0224     -0.119485      0.000000 
     16.75000       -0.0262     -0.142357      0.000000 
     16.80000       -0.0297     -0.161711      0.000000 
     16.85000       -0.0330     -0.177582      0.000000 
     16.90000       -0.0363     -0.190427      0.000000 
     16.95000       -0.0394     -0.200373      0.000000 
     17.00000       -0.0424     -0.207808      0.000000 
     17.05000       -0.0453     -0.213123      0.000000 
     17.10000       -0.0479     -0.216542      0.000000 
     17.15000       -0.0503     -0.218438      0.000000 
     17.20000       -0.0523     -0.219066      0.000000 
     17.25000       -0.0537     -0.218472      0.000000 
     17.30000       -0.0546     -0.216864      0.000000 
     17.35000       -0.0548     -0.214188      0.000000 
     17.40000       -0.0543     -0.210200      0.000000 
     17.45000       -0.0528     -0.204648      0.000000 
     17.50000       -0.0504     -0.197013      0.000000 
     17.55000       -0.0470     -0.186774      0.000000 
     17.60000       -0.0425     -0.173266      0.000000 
     17.65000       -0.0369     -0.155741      0.000000 
     17.70000       -0.0301     -0.133466      0.000000 
     17.75000       -0.0223     -0.105875      0.000000 
     17.80000       -0.0133     -0.072646      0.000000 
     17.85000       -0.0033     -0.033774      0.000000 
     17.90000        0.0075      0.010101      0.000000 
     17.95000        0.0191      0.057915      0.000000 
     18.00000        0.0310      0.107889      0.000000 
     18.05000        0.0427      0.157796      0.000000 
     18.10000        0.0536      0.204931      0.000000 
     18.15000        0.0631      0.246555      0.000000 
     18.20000        0.0705      0.280135      0.000000 
     18.25000        0.0750      0.303447      0.000000 
     18.30000        0.0760      0.314508      0.000000 
     18.35000        0.0732      0.312132      0.000000 
     18.40000        0.0668      0.296123      0.000000 
     18.45000        0.0571      0.267195      0.000000 
     18.50000        0.0450      0.227201      0.000000 
     18.55000        0.0318      0.179144      0.000000 
     18.60000        0.0184      0.126277      0.000000 
     18.65000        0.0059      0.071980      0.000000 
     18.70000       -0.0051      0.018737      0.000000 
     18.75000       -0.0145     -0.031104      0.000000 
     18.80000       -0.0221     -0.076139      0.000000 
     18.85000       -0.0281     -0.115287      0.000000 
     18.90000       -0.0326     -0.148049      0.000000 
     18.95000       -0.0360     -0.174209      0.000000 
     19.00000       -0.0384     -0.193975      0.000000 
     19.05000       -0.0402     -0.207692      0.000000 
     19.10000       -0.0415     -0.216046      0.000000 
     19.15000       -0.0424     -0.219795      0.000000 
     19.20000       -0.0431     -0.219844      0.000000 
     19.25000       -0.0435     -0.217192      0.000000 
     19.30000       -0.0437     -0.212770      0.000000 
