%
%
% Run:      Table:GAUGE1            SWASH version:11.01AB
%
%       Tsec          Watlev      X-vel         Y-vel      
%       [s]           [m]           [m/s]         [m/s]    
%
      0.00000        0.0000      0.000000      0.000000 
      0.05000       -0.0000     -0.000003      0.000000 
      0.10000       -0.0000     -0.000002      0.000000 
      0.15000       -0.0000     -0.000004      0.000000 
      0.20000       -0.0000     -0.000001      0.000000 
      0.25000       -0.0000     -0.000004      0.000000 
      0.30000       -0.0000     -0.000006      0.000000 
      0.35000       -0.0000     -0.000012      0.000000 
      0.40000       -0.0000     -0.000020      0.000000 
      0.45000       -0.0000     -0.000030      0.000000 
      0.50000       -0.0000     -0.000036      0.000000 
      0.55000       -0.0000     -0.000053      0.000000 
      0.60000       -0.0000     -0.000075      0.000000 
      0.65000       -0.0000     -0.000101      0.000000 
      0.70000       -0.0000     -0.000139      0.000000 
      0.75000       -0.0000     -0.000185      0.000000 
      0.80000       -0.0000     -0.000238      0.000000 
      0.85000       -0.0001     -0.000303      0.000000 
      0.90000       -0.0001     -0.000376      0.000000 
      0.95000       -0.0001     -0.000462      0.000000 
      1.00000       -0.0001     -0.000558      0.000000 
      1.05000       -0.0001     -0.000663      0.000000 
      1.10000       -0.0002     -0.000764      0.000000 
      1.15000       -0.0002     -0.000860      0.000000 
      1.20000       -0.0002     -0.000942      0.000000 
      1.25000       -0.0003     -0.000997      0.000000 
      1.30000       -0.0003     -0.001000      0.000000 
      1.35000       -0.0003     -0.000929      0.000000 
      1.40000       -0.0002     -0.000760      0.000000 
      1.45000       -0.0002     -0.000443      0.000000 
      1.50000       -0.0001      0.000053      0.000000 
      1.55000        0.0000      0.000780      0.000000 
      1.60000        0.0002      0.001802      0.000000 
      1.65000        0.0005      0.003184      0.000000 
      1.70000        0.0009      0.004993      0.000000 
      1.75000        0.0014      0.007305      0.000000 
      1.80000        0.0020      0.010197      0.000000 
      1.85000        0.0028      0.013741      0.000000 
      1.90000        0.0037      0.018002      0.000000 
      1.95000        0.0049      0.023034      0.000000 
      2.00000        0.0063      0.028870      0.000000 
      2.05000        0.0078      0.035512      0.000000 
      2.10000        0.0096      0.042929      0.000000 
      2.15000        0.0116      0.051052      0.000000 
      2.20000        0.0138      0.059743      0.000000 
      2.25000        0.0161      0.068830      0.000000 
      2.30000        0.0185      0.078062      0.000000 
      2.35000        0.0209      0.087126      0.000000 
      2.40000        0.0232      0.095661      0.000000 
      2.45000        0.0253      0.103254      0.000000 
      2.50000        0.0270      0.109464      0.000000 
      2.55000        0.0283      0.113839      0.000000 
      2.60000        0.0290      0.115955      0.000000 
      2.65000        0.0290      0.115425      0.000000 
      2.70000        0.0281      0.111972      0.000000 
      2.75000        0.0265      0.105420      0.000000 
      2.80000        0.0239      0.095711      0.000000 
      2.85000        0.0206      0.082962      0.000000 
      2.90000        0.0165      0.067411      0.000000 
      2.95000        0.0118      0.049434      0.000000 
      3.00000        0.0067      0.029500      0.000000 
      3.05000        0.0013      0.008171      0.000000 
      3.10000       -0.0043     -0.013972      0.000000 
      3.15000       -0.0098     -0.036308      0.000000 
      3.20000       -0.0151     -0.058258      0.000000 
      3.25000       -0.0202     -0.079262      0.000000 
      3.30000       -0.0248     -0.098793      0.000000 
      3.35000       -0.0289     -0.116392      0.000000 
      3.40000       -0.0324     -0.131629      0.000000 
      3.45000       -0.0352     -0.144125      0.000000 
      3.50000       -0.0374     -0.153553      0.000000 
      3.55000       -0.0387     -0.159601      0.000000 
      3.60000       -0.0393     -0.161997      0.000000 
      3.65000       -0.0389     -0.160492      0.000000 
      3.70000       -0.0376     -0.154886      0.000000 
      3.75000       -0.0352     -0.145051      0.000000 
      3.80000       -0.0319     -0.130879      0.000000 
      3.85000       -0.0275     -0.112387      0.000000 
      3.90000       -0.0219     -0.089707      0.000000 
      3.95000       -0.0154     -0.063173      0.000000 
      4.00000       -0.0078     -0.033265      0.000000 
      4.05000        0.0007     -0.000766      0.000000 
      4.10000        0.0097      0.033324      0.000000 
      4.15000        0.0190      0.067730      0.000000 
      4.20000        0.0281      0.100926      0.000000 
      4.25000        0.0365      0.131228      0.000000 
      4.30000        0.0436      0.156926      0.000000 
      4.35000        0.0487      0.176474      0.000000 
      4.40000        0.0516      0.188615      0.000000 
      4.45000        0.0519      0.192738      0.000000 
      4.50000        0.0499      0.188893      0.000000 
      4.55000        0.0458      0.177643      0.000000 
      4.60000        0.0401      0.160056      0.000000 
      4.65000        0.0334      0.137435      0.000000 
      4.70000        0.0260      0.111169      0.000000 
      4.75000        0.0183      0.082515      0.000000 
      4.80000        0.0107      0.052585      0.000000 
      4.85000        0.0033      0.022271      0.000000 
      4.90000       -0.0038     -0.007722      0.000000 
      4.95000       -0.0105     -0.036869      0.000000 
      5.00000       -0.0167     -0.064764      0.000000 
      5.05000       -0.0226     -0.091084      0.000000 
      5.10000       -0.0281     -0.115579      0.000000 
      5.15000       -0.0331     -0.137982      0.000000 
      5.20000       -0.0375     -0.158045      0.000000 
      5.25000       -0.0415     -0.175492      0.000000 
      5.30000       -0.0448     -0.190018      0.000000 
      5.35000       -0.0475     -0.201287      0.000000 
      5.40000       -0.0494     -0.208956      0.000000 
      5.45000       -0.0504     -0.212662      0.000000 
      5.50000       -0.0504     -0.212053      0.000000 
      5.55000       -0.0494     -0.206757      0.000000 
      5.60000       -0.0472     -0.196546      0.000000 
      5.65000       -0.0437     -0.181233      0.000000 
      5.70000       -0.0389     -0.160743      0.000000 
      5.75000       -0.0327     -0.135198      0.000000 
      5.80000       -0.0251     -0.104956      0.000000 
      5.85000       -0.0163     -0.070673      0.000000 
      5.90000       -0.0064     -0.033349      0.000000 
      5.95000        0.0043      0.005648      0.000000 
      6.00000        0.0150      0.044554      0.000000 
      6.05000        0.0253      0.081303      0.000000 
      6.10000        0.0342      0.113694      0.000000 
      6.15000        0.0408      0.139673      0.000000 
      6.20000        0.0448      0.157590      0.000000 
      6.25000        0.0459      0.166994      0.000000 
      6.30000        0.0446      0.168450      0.000000 
      6.35000        0.0414      0.163185      0.000000 
      6.40000        0.0372      0.152980      0.000000 
      6.45000        0.0325      0.139671      0.000000 
      6.50000        0.0280      0.124796      0.000000 
      6.55000        0.0240      0.109499      0.000000 
      6.60000        0.0204      0.094447      0.000000 
      6.65000        0.0172      0.079951      0.000000 
      6.70000        0.0144      0.065988      0.000000 
      6.75000        0.0116      0.052372      0.000000 
      6.80000        0.0087      0.038910      0.000000 
      6.85000        0.0057      0.025440      0.000000 
      6.90000        0.0026      0.011949      0.000000 
      6.95000       -0.0007     -0.001401      0.000000 
      7.00000       -0.0039     -0.014351      0.000000 
      7.05000       -0.0070     -0.026567      0.000000 
      7.10000       -0.0098     -0.037716      0.000000 
      7.15000       -0.0121     -0.047529      0.000000 
      7.20000       -0.0140     -0.055855      0.000000 
      7.25000       -0.0153     -0.062669      0.000000 
      7.30000       -0.0163     -0.068073      0.000000 
      7.35000       -0.0169     -0.072298      0.000000 
      7.40000       -0.0173     -0.075647      0.000000 
      7.45000       -0.0176     -0.078464      0.000000 
      7.50000       -0.0179     -0.081085      0.000000 
      7.55000       -0.0184     -0.083751      0.000000 
      7.60000       -0.0192     -0.086592      0.000000 
      7.65000       -0.0200     -0.089591      0.000000 
      7.70000       -0.0211     -0.092567      0.000000 
      7.75000       -0.0221     -0.095193      0.000000 
      7.80000       -0.0230     -0.097026      0.000000 
      7.85000       -0.0236     -0.097556      0.000000 
      7.90000       -0.0237     -0.096243      0.000000 
      7.95000       -0.0231     -0.092580      0.000000 
      8.00000       -0.0218     -0.086144      0.000000 
      8.05000       -0.0196     -0.076656      0.000000 
      8.10000       -0.0165     -0.063987      0.000000 
      8.15000       -0.0125     -0.048192      0.000000 
      8.20000       -0.0076     -0.029539      0.000000 
      8.25000       -0.0020     -0.008530      0.000000 
      8.30000        0.0041      0.014125      0.000000 
      8.35000        0.0104      0.037517      0.000000 
      8.40000        0.0167      0.060613      0.000000 
      8.45000        0.0226      0.082329      0.000000 
      8.50000        0.0279      0.101613      0.000000 
      8.55000        0.0321      0.117530      0.000000 
      8.60000        0.0351      0.129318      0.000000 
      8.65000        0.0367      0.136405      0.000000 
      8.70000        0.0369      0.138456      0.000000 
      8.75000        0.0356      0.135439      0.000000 
      8.80000        0.0329      0.127577      0.000000 
      8.85000        0.0290      0.115413      0.000000 
      8.90000        0.0242      0.099773      0.000000 
      8.95000        0.0189      0.081679      0.000000 
      9.00000        0.0134      0.062260      0.000000 
      9.05000        0.0081      0.042623      0.000000 
      9.10000        0.0031      0.023777      0.000000 
      9.15000       -0.0012      0.006560      0.000000 
      9.20000       -0.0048     -0.008396      0.000000 
      9.25000       -0.0076     -0.020669      0.000000 
      9.30000       -0.0095     -0.030025      0.000000 
      9.35000       -0.0107     -0.036425      0.000000 
      9.40000       -0.0111     -0.039974      0.000000 
      9.45000       -0.0109     -0.040909      0.000000 
      9.50000       -0.0101     -0.039573      0.000000 
      9.55000       -0.0089     -0.036368      0.000000 
      9.60000       -0.0074     -0.031759      0.000000 
      9.65000       -0.0056     -0.026252      0.000000 
      9.70000       -0.0038     -0.020365      0.000000 
      9.75000       -0.0021     -0.014619      0.000000 
      9.80000       -0.0006     -0.009529      0.000000 
      9.85000        0.0006     -0.005545      0.000000 
      9.90000        0.0012     -0.003053      0.000000 
      9.95000        0.0013     -0.002331      0.000000 
     10.00000        0.0009     -0.003488      0.000000 
     10.05000       -0.0002     -0.006482      0.000000 
     10.10000       -0.0018     -0.011064      0.000000 
     10.15000       -0.0037     -0.016815      0.000000 
     10.20000       -0.0058     -0.023176      0.000000 
     10.25000       -0.0078     -0.029497      0.000000 
     10.30000       -0.0096     -0.035116      0.000000 
     10.35000       -0.0109     -0.039418      0.000000 
     10.40000       -0.0116     -0.041886      0.000000 
     10.45000       -0.0117     -0.042141      0.000000 
     10.50000       -0.0110     -0.039968      0.000000 
     10.55000       -0.0097     -0.035340      0.000000 
     10.60000       -0.0076     -0.028409      0.000000 
     10.65000       -0.0050     -0.019481      0.000000 
     10.70000       -0.0020     -0.009013      0.000000 
     10.75000        0.0012      0.002462      0.000000 
     10.80000        0.0045      0.014305      0.000000 
     10.85000        0.0077      0.025896      0.000000 
     10.90000        0.0106      0.036641      0.000000 
     10.95000        0.0131      0.046024      0.000000 
     11.00000        0.0150      0.053626      0.000000 
     11.05000        0.0164      0.059135      0.000000 
     11.10000        0.0171      0.062353      0.000000 
     11.15000        0.0171      0.063174      0.000000 
     11.20000        0.0164      0.061618      0.000000 
     11.25000        0.0151      0.057817      0.000000 
     11.30000        0.0133      0.052074      0.000000 
     11.35000        0.0109      0.044804      0.000000 
     11.40000        0.0084      0.036602      0.000000 
     11.45000        0.0058      0.028146      0.000000 
     11.50000        0.0033      0.020174      0.000000 
     11.55000        0.0012      0.013410      0.000000 
     11.60000       -0.0003      0.008524      0.000000 
     11.65000       -0.0010      0.006019      0.000000 
     11.70000       -0.0009      0.006243      0.000000 
