%
%
% Run:      Table:GAUGE2            SWASH version:11.01AB
%
%       Tsec          Watlev      X-vel         Y-vel      
%       [s]           [m]           [m/s]         [m/s]    
%
      0.00000        0.0000      0.000000      0.000000 
      0.05000       -0.0000     -0.000000      0.000000 
      0.10000       -0.0000     -0.000000      0.000000 
      0.15000       -0.0000     -0.000000      0.000000 
      0.20000        0.0000     -0.000000      0.000000 
      0.25000        0.0000      0.000000      0.000000 
      0.30000        0.0000      0.000000      0.000000 
      0.35000       -0.0000     -0.000000      0.000000 
      0.40000       -0.0000     -0.000000      0.000000 
      0.45000       -0.0000      0.000000      0.000000 
      0.50000       -0.0000      0.000000      0.000000 
      0.55000       -0.0000      0.000000      0.000000 
      0.60000       -0.0000     -0.000001      0.000000 
      0.65000       -0.0000     -0.000000      0.000000 
      0.70000       -0.0000      0.000002      0.000000 
      0.75000       -0.0000      0.000002      0.000000 
      0.80000       -0.0000     -0.000004      0.000000 
      0.85000        0.0000      0.000004      0.000000 
      0.90000        0.0000      0.000008      0.000000 
      0.95000        0.0000      0.000000      0.000000 
      1.00000        0.0000     -0.000002      0.000000 
      1.05000        0.0000     -0.000004      0.000000 
      1.10000        0.0000      0.000003      0.000000 
      1.15000        0.0000      0.000006      0.000000 
      1.20000        0.0000      0.000002      0.000000 
      1.25000        0.0000     -0.000004      0.000000 
      1.30000       -0.0000     -0.000002      0.000000 
      1.35000       -0.0000     -0.000000      0.000000 
      1.40000       -0.0000     -0.000011      0.000000 
      1.45000       -0.0000      0.000004      0.000000 
      1.50000       -0.0000     -0.000001      0.000000 
      1.55000       -0.0000      0.000000      0.000000 
      1.60000       -0.0000     -0.000005      0.000000 
      1.65000       -0.0000     -0.000002      0.000000 
      1.70000       -0.0000     -0.000004      0.000000 
      1.75000       -0.0000     -0.000006      0.000000 
      1.80000       -0.0000     -0.000008      0.000000 
      1.85000       -0.0000     -0.000011      0.000000 
      1.90000       -0.0000     -0.000014      0.000000 
      1.95000       -0.0000     -0.000018      0.000000 
      2.00000       -0.0000     -0.000023      0.000000 
      2.05000       -0.0000     -0.000028      0.000000 
      2.10000       -0.0000     -0.000034      0.000000 
      2.15000       -0.0000     -0.000042      0.000000 
      2.20000       -0.0000     -0.000050      0.000000 
      2.25000       -0.0000     -0.000059      0.000000 
      2.30000       -0.0000     -0.000069      0.000000 
      2.35000       -0.0000     -0.000079      0.000000 
      2.40000       -0.0000     -0.000089      0.000000 
      2.45000       -0.0000     -0.000098      0.000000 
      2.50000       -0.0000     -0.000104      0.000000 
      2.55000       -0.0000     -0.000107      0.000000 
      2.60000       -0.0000     -0.000105      0.000000 
      2.65000       -0.0000     -0.000095      0.000000 
      2.70000       -0.0000     -0.000073      0.000000 
      2.75000       -0.0000     -0.000036      0.000000 
      2.80000       -0.0000      0.000022      0.000000 
      2.85000        0.0000      0.000106      0.000000 
      2.90000        0.0000      0.000225      0.000000 
      2.95000        0.0001      0.000388      0.000000 
      3.00000        0.0001      0.000607      0.000000 
      3.05000        0.0002      0.000893      0.000000 
      3.10000        0.0002      0.001263      0.000000 
      3.15000        0.0003      0.001733      0.000000 
      3.20000        0.0004      0.002324      0.000000 
      3.25000        0.0006      0.003058      0.000000 
      3.30000        0.0008      0.003958      0.000000 
      3.35000        0.0010      0.005053      0.000000 
      3.40000        0.0013      0.006371      0.000000 
      3.45000        0.0016      0.007942      0.000000 
      3.50000        0.0020      0.009798      0.000000 
      3.55000        0.0025      0.011969      0.000000 
      3.60000        0.0030      0.014486      0.000000 
      3.65000        0.0037      0.017377      0.000000 
      3.70000        0.0044      0.020665      0.000000 
      3.75000        0.0052      0.024367      0.000000 
      3.80000        0.0061      0.028493      0.000000 
      3.85000        0.0072      0.033040      0.000000 
      3.90000        0.0083      0.037991      0.000000 
      3.95000        0.0095      0.043314      0.000000 
      4.00000        0.0108      0.048957      0.000000 
      4.05000        0.0122      0.054844      0.000000 
      4.10000        0.0136      0.060879      0.000000 
      4.15000        0.0150      0.066942      0.000000 
      4.20000        0.0165      0.072884      0.000000 
      4.25000        0.0178      0.078539      0.000000 
      4.30000        0.0191      0.083721      0.000000 
      4.35000        0.0202      0.088230      0.000000 
      4.40000        0.0211      0.091860      0.000000 
      4.45000        0.0218      0.094409      0.000000 
      4.50000        0.0221      0.095685      0.000000 
      4.55000        0.0222      0.095518      0.000000 
      4.60000        0.0218      0.093780      0.000000 
      4.65000        0.0210      0.090372      0.000000 
      4.70000        0.0198      0.085253      0.000000 
      4.75000        0.0182      0.078420      0.000000 
      4.80000        0.0162      0.069943      0.000000 
      4.85000        0.0139      0.059922      0.000000 
      4.90000        0.0112      0.048520      0.000000 
      4.95000        0.0083      0.035922      0.000000 
      5.00000        0.0052      0.022359      0.000000 
      5.05000        0.0019      0.008075      0.000000 
      5.10000       -0.0014     -0.006680      0.000000 
      5.15000       -0.0048     -0.021635      0.000000 
      5.20000       -0.0081     -0.036534      0.000000 
      5.25000       -0.0114     -0.051121      0.000000 
      5.30000       -0.0145     -0.065139      0.000000 
      5.35000       -0.0174     -0.078354      0.000000 
      5.40000       -0.0201     -0.090510      0.000000 
      5.45000       -0.0224     -0.101389      0.000000 
      5.50000       -0.0245     -0.110754      0.000000 
      5.55000       -0.0262     -0.118350      0.000000 
      5.60000       -0.0274     -0.123934      0.000000 
      5.65000       -0.0282     -0.127259      0.000000 
      5.70000       -0.0285     -0.128068      0.000000 
      5.75000       -0.0281     -0.126072      0.000000 
      5.80000       -0.0272     -0.121004      0.000000 
      5.85000       -0.0254     -0.112634      0.000000 
      5.90000       -0.0229     -0.100721      0.000000 
      5.95000       -0.0196     -0.085125      0.000000 
      6.00000       -0.0153     -0.065787      0.000000 
      6.05000       -0.0101     -0.042787      0.000000 
      6.10000       -0.0040     -0.016394      0.000000 
      6.15000        0.0030      0.012892      0.000000 
      6.20000        0.0107      0.044288      0.000000 
      6.25000        0.0188      0.076722      0.000000 
      6.30000        0.0271      0.108816      0.000000 
      6.35000        0.0350      0.138930      0.000000 
      6.40000        0.0420      0.165227      0.000000 
      6.45000        0.0476      0.185925      0.000000 
      6.50000        0.0510      0.199316      0.000000 
      6.55000        0.0519      0.204177      0.000000 
      6.60000        0.0503      0.199958      0.000000 
      6.65000        0.0462      0.186913      0.000000 
      6.70000        0.0400      0.165756      0.000000 
      6.75000        0.0322      0.137944      0.000000 
      6.80000        0.0235      0.105243      0.000000 
      6.85000        0.0144      0.069408      0.000000 
      6.90000        0.0053      0.032183      0.000000 
      6.95000       -0.0033     -0.004902      0.000000 
      7.00000       -0.0114     -0.040656      0.000000 
      7.05000       -0.0187     -0.074151      0.000000 
      7.10000       -0.0251     -0.104734      0.000000 
      7.15000       -0.0307     -0.131987      0.000000 
      7.20000       -0.0355     -0.155642      0.000000 
      7.25000       -0.0395     -0.175610      0.000000 
      7.30000       -0.0426     -0.191866      0.000000 
      7.35000       -0.0450     -0.204443      0.000000 
      7.40000       -0.0467     -0.213313      0.000000 
      7.45000       -0.0477     -0.218550      0.000000 
      7.50000       -0.0479     -0.220150      0.000000 
      7.55000       -0.0474     -0.218028      0.000000 
      7.60000       -0.0462     -0.212173      0.000000 
      7.65000       -0.0441     -0.202480      0.000000 
      7.70000       -0.0413     -0.188822      0.000000 
      7.75000       -0.0376     -0.171138      0.000000 
      7.80000       -0.0329     -0.149383      0.000000 
      7.85000       -0.0273     -0.123591      0.000000 
      7.90000       -0.0207     -0.093934      0.000000 
      7.95000       -0.0132     -0.060774      0.000000 
      8.00000       -0.0048     -0.024691      0.000000 
      8.05000        0.0043      0.013449      0.000000 
      8.10000        0.0138      0.052489      0.000000 
      8.15000        0.0235      0.090981      0.000000 
      8.20000        0.0326      0.127232      0.000000 
      8.25000        0.0409      0.159423      0.000000 
      8.30000        0.0475      0.185777      0.000000 
      8.35000        0.0521      0.204778      0.000000 
      8.40000        0.0543      0.215278      0.000000 
      8.45000        0.0539      0.216818      0.000000 
      8.50000        0.0512      0.209735      0.000000 
      8.55000        0.0465      0.194693      0.000000 
      8.60000        0.0402      0.172979      0.000000 
      8.65000        0.0329      0.146119      0.000000 
      8.70000        0.0249      0.115730      0.000000 
      8.75000        0.0169      0.083379      0.000000 
      8.80000        0.0090      0.050481      0.000000 
      8.85000        0.0016      0.018247      0.000000 
      8.90000       -0.0053     -0.012351      0.000000 
      8.95000       -0.0114     -0.040540      0.000000 
      9.00000       -0.0168     -0.065789      0.000000 
      9.05000       -0.0214     -0.087692      0.000000 
      9.10000       -0.0251     -0.106086      0.000000 
      9.15000       -0.0281     -0.120781      0.000000 
      9.20000       -0.0302     -0.131814      0.000000 
      9.25000       -0.0315     -0.139225      0.000000 
      9.30000       -0.0321     -0.143110      0.000000 
      9.35000       -0.0320     -0.143625      0.000000 
      9.40000       -0.0312     -0.140991      0.000000 
      9.45000       -0.0297     -0.135572      0.000000 
      9.50000       -0.0277     -0.127647      0.000000 
      9.55000       -0.0252     -0.117645      0.000000 
      9.60000       -0.0223     -0.106041      0.000000 
      9.65000       -0.0191     -0.093407      0.000000 
      9.70000       -0.0159     -0.080299      0.000000 
      9.75000       -0.0128     -0.067333      0.000000 
      9.80000       -0.0099     -0.055087      0.000000 
      9.85000       -0.0073     -0.044081      0.000000 
      9.90000       -0.0053     -0.034647      0.000000 
      9.95000       -0.0039     -0.027053      0.000000 
     10.00000       -0.0030     -0.021249      0.000000 
     10.05000       -0.0025     -0.017016      0.000000 
     10.10000       -0.0025     -0.013901      0.000000 
     10.15000       -0.0026     -0.011249      0.000000 
     10.20000       -0.0026     -0.008328      0.000000 
     10.25000       -0.0023     -0.004294      0.000000 
     10.30000       -0.0014      0.001551      0.000000 
     10.35000        0.0002      0.009869      0.000000 
     10.40000        0.0027      0.021035      0.000000 
     10.45000        0.0061      0.035188      0.000000 
     10.50000        0.0105      0.052076      0.000000 
     10.55000        0.0156      0.071107      0.000000 
     10.60000        0.0213      0.091261      0.000000 
     10.65000        0.0270      0.111191      0.000000 
     10.70000        0.0322      0.129221      0.000000 
     10.75000        0.0364      0.143578      0.000000 
     10.80000        0.0389      0.152536      0.000000 
     10.85000        0.0394      0.154858      0.000000 
     10.90000        0.0376      0.149949      0.000000 
     10.95000        0.0339      0.138077      0.000000 
     11.00000        0.0285      0.120058      0.000000 
     11.05000        0.0220      0.097455      0.000000 
     11.10000        0.0150      0.072011      0.000000 
     11.15000        0.0081      0.045502      0.000000 
     11.20000        0.0017      0.019543      0.000000 
     11.25000       -0.0040     -0.004604      0.000000 
     11.30000       -0.0087     -0.026011      0.000000 
     11.35000       -0.0124     -0.044082      0.000000 
     11.40000       -0.0152     -0.058533      0.000000 
     11.45000       -0.0171     -0.069357      0.000000 
     11.50000       -0.0182     -0.076735      0.000000 
     11.55000       -0.0185     -0.080977      0.000000 
     11.60000       -0.0184     -0.082497      0.000000 
     11.65000       -0.0178     -0.081793      0.000000 
     11.70000       -0.0169     -0.079292      0.000000 
     11.75000       -0.0158     -0.075375      0.000000 
     11.80000       -0.0147     -0.070413      0.000000 
     11.85000       -0.0134     -0.064661      0.000000 
     11.90000       -0.0120     -0.058262      0.000000 
     11.95000       -0.0106     -0.051306      0.000000 
     12.00000       -0.0091     -0.043829      0.000000 
     12.05000       -0.0074     -0.035878      0.000000 
     12.10000       -0.0056     -0.027407      0.000000 
     12.15000       -0.0035     -0.018604      0.000000 
     12.20000       -0.0014     -0.009538      0.000000 
     12.25000        0.0009     -0.000560      0.000000 
     12.30000        0.0031      0.008012      0.000000 
     12.35000        0.0051      0.015638      0.000000 
     12.40000        0.0068      0.021911      0.000000 
     12.45000        0.0079      0.026269      0.000000 
     12.50000        0.0084      0.028306      0.000000 
     12.55000        0.0081      0.027890      0.000000 
     12.60000        0.0070      0.025100      0.000000 
     12.65000        0.0053      0.020245      0.000000 
     12.70000        0.0033      0.013910      0.000000 
     12.75000        0.0010      0.007170      0.000000 
     12.80000       -0.0011      0.000604      0.000000 
     12.85000       -0.0028     -0.004467      0.000000 
     12.90000       -0.0038     -0.007496      0.000000 
     12.95000       -0.0039     -0.007582      0.000000 
     13.00000       -0.0031     -0.004383      0.000000 
     13.05000       -0.0013      0.002021      0.000000 
     13.10000        0.0015      0.011733      0.000000 
     13.15000        0.0050      0.023938      0.000000 
     13.20000        0.0091      0.037738      0.000000 
     13.25000        0.0133      0.052073      0.000000 
     13.30000        0.0172      0.065673      0.000000 
     13.35000        0.0204      0.077123      0.000000 
     13.40000        0.0224      0.085149      0.000000 
     13.45000        0.0232      0.088967      0.000000 
     13.50000        0.0225      0.088385      0.000000 
     13.55000        0.0207      0.083529      0.000000 
     13.60000        0.0179      0.075178      0.000000 
     13.65000        0.0145      0.064310      0.000000 
     13.70000        0.0110      0.052200      0.000000 
     13.75000        0.0076      0.039908      0.000000 
     13.80000        0.0047      0.028492      0.000000 
     13.85000        0.0024      0.018547      0.000000 
     13.90000        0.0007      0.010539      0.000000 
     13.95000       -0.0003      0.004799      0.000000 
     14.00000       -0.0007      0.001135      0.000000 
     14.05000       -0.0007     -0.000452      0.000000 
     14.10000       -0.0003     -0.000398      0.000000 
     14.15000        0.0004      0.000985      0.000000 
     14.20000        0.0011      0.003099      0.000000 
     14.25000        0.0020      0.005762      0.000000 
     14.30000        0.0027      0.008563      0.000000 
     14.35000        0.0035      0.011294      0.000000 
     14.40000        0.0041      0.013592      0.000000 
     14.45000        0.0046      0.015036      0.000000 
     14.50000        0.0049      0.015842      0.000000 
     14.55000        0.0050      0.015285      0.000000 
     14.60000        0.0047      0.013513      0.000000 
     14.65000        0.0041      0.009639      0.000000 
     14.70000        0.0028      0.003907      0.000000 
     14.75000        0.0010     -0.004028      0.000000 
     14.80000       -0.0014     -0.014201      0.000000 
     14.85000       -0.0044     -0.026146      0.000000 
     14.90000       -0.0079     -0.039879      0.000000 
     14.95000       -0.0116     -0.054423      0.000000 
     15.00000       -0.0154     -0.069408      0.000000 
     15.05000       -0.0190     -0.083780      0.000000 
     15.10000       -0.0222     -0.096552      0.000000 
     15.15000       -0.0249     -0.107181      0.000000 
     15.20000       -0.0268     -0.114773      0.000000 
     15.25000       -0.0278     -0.118760      0.000000 
     15.30000       -0.0278     -0.118501      0.000000 
     15.35000       -0.0267     -0.113722      0.000000 
     15.40000       -0.0245     -0.104285      0.000000 
     15.45000       -0.0212     -0.090329      0.000000 
     15.50000       -0.0167     -0.071666      0.000000 
     15.55000       -0.0112     -0.048980      0.000000 
     15.60000       -0.0049     -0.022907      0.000000 
     15.65000        0.0022      0.005732      0.000000 
     15.70000        0.0097      0.035775      0.000000 
     15.75000        0.0172      0.065975      0.000000 
     15.80000        0.0245      0.094779      0.000000 
     15.85000        0.0310      0.120903      0.000000 
     15.90000        0.0365      0.143064      0.000000 
     15.95000        0.0406      0.160044      0.000000 
     16.00000        0.0430      0.171299      0.000000 
     16.05000        0.0437      0.176053      0.000000 
     16.10000        0.0427      0.174459      0.000000 
     16.15000        0.0402      0.166769      0.000000 
     16.20000        0.0362      0.153623      0.000000 
     16.25000        0.0313      0.135954      0.000000 
     16.30000        0.0256      0.114893      0.000000 
     16.35000        0.0197      0.091687      0.000000 
     16.40000        0.0137      0.067480      0.000000 
     16.45000        0.0080      0.043349      0.000000 
     16.50000        0.0028      0.019948      0.000000 
     16.55000       -0.0020     -0.002059      0.000000 
     16.60000       -0.0063     -0.022215      0.000000 
     16.65000       -0.0100     -0.040602      0.000000 
     16.70000       -0.0133     -0.056896      0.000000 
     16.75000       -0.0161     -0.071453      0.000000 
     16.80000       -0.0186     -0.084374      0.000000 
     16.85000       -0.0208     -0.095613      0.000000 
     16.90000       -0.0228     -0.105518      0.000000 
     16.95000       -0.0245     -0.114340      0.000000 
     17.00000       -0.0261     -0.121983      0.000000 
     17.05000       -0.0274     -0.128495      0.000000 
     17.10000       -0.0286     -0.133860      0.000000 
     17.15000       -0.0296     -0.138192      0.000000 
     17.20000       -0.0303     -0.141127      0.000000 
     17.25000       -0.0307     -0.142620      0.000000 
     17.30000       -0.0308     -0.142615      0.000000 
     17.35000       -0.0305     -0.140872      0.000000 
     17.40000       -0.0298     -0.137022      0.000000 
     17.45000       -0.0287     -0.130928      0.000000 
     17.50000       -0.0270     -0.122724      0.000000 
     17.55000       -0.0247     -0.111832      0.000000 
     17.60000       -0.0218     -0.098357      0.000000 
     17.65000       -0.0183     -0.082185      0.000000 
     17.70000       -0.0142     -0.063338      0.000000 
     17.75000       -0.0093     -0.041978      0.000000 
     17.80000       -0.0039     -0.018361      0.000000 
     17.85000        0.0020      0.006992      0.000000 
     17.90000        0.0084      0.033578      0.000000 
     17.95000        0.0150      0.060685      0.000000 
     18.00000        0.0215      0.087244      0.000000 
     18.05000        0.0277      0.112225      0.000000 
     18.10000        0.0333      0.134602      0.000000 
     18.15000        0.0379      0.153143      0.000000 
     18.20000        0.0412      0.166977      0.000000 
     18.25000        0.0430      0.175409      0.000000 
     18.30000        0.0433      0.178050      0.000000 
     18.35000        0.0422      0.174948      0.000000 
     18.40000        0.0396      0.166366      0.000000 
     18.45000        0.0359      0.152703      0.000000 
     18.50000        0.0311      0.134712      0.000000 
     18.55000        0.0255      0.113087      0.000000 
     18.60000        0.0194      0.088763      0.000000 
     18.65000        0.0130      0.062685      0.000000 
     18.70000        0.0066      0.035713      0.000000 
     18.75000        0.0002      0.008927      0.000000 
     18.80000       -0.0057     -0.016926      0.000000 
     18.85000       -0.0111     -0.041003      0.000000 
     18.90000       -0.0159     -0.062762      0.000000 
     18.95000       -0.0199     -0.081723      0.000000 
     19.00000       -0.0232     -0.097559      0.000000 
     19.05000       -0.0257     -0.110285      0.000000 
     19.10000       -0.0274     -0.119863      0.000000 
     19.15000       -0.0285     -0.126421      0.000000 
     19.20000       -0.0289     -0.130237      0.000000 
     19.25000       -0.0288     -0.131592      0.000000 
     19.30000       -0.0283     -0.130920      0.000000 
     19.35000       -0.0275     -0.128439      0.000000 
