%
%
% Run:      Table:GAUGE1            SWASH version:11.01AB
%
%       Tsec          Watlev      X-vel         Y-vel      
%       [s]           [m]           [m/s]         [m/s]    
%
      0.00000        0.0000      0.000000      0.000000 
      0.05000       -0.0000     -0.000001      0.000000 
      0.10000       -0.0000     -0.000000      0.000000 
      0.15000       -0.0000     -0.000000      0.000000 
      0.20000       -0.0000     -0.000001      0.000000 
      0.25000       -0.0000     -0.000001      0.000000 
      0.30000       -0.0000     -0.000000      0.000000 
      0.35000       -0.0000     -0.000003      0.000000 
      0.40000       -0.0000     -0.000006      0.000000 
      0.45000       -0.0000     -0.000005      0.000000 
      0.50000       -0.0000     -0.000010      0.000000 
      0.55000       -0.0000     -0.000012      0.000000 
      0.60000       -0.0000     -0.000022      0.000000 
      0.65000       -0.0000     -0.000020      0.000000 
      0.70000       -0.0000     -0.000035      0.000000 
      0.75000       -0.0000     -0.000038      0.000000 
      0.80000       -0.0000     -0.000049      0.000000 
      0.85000       -0.0000     -0.000061      0.000000 
      0.90000       -0.0000     -0.000077      0.000000 
      0.95000       -0.0000     -0.000088      0.000000 
      1.00000       -0.0000     -0.000101      0.000000 
      1.05000       -0.0000     -0.000112      0.000000 
      1.10000       -0.0000     -0.000117      0.000000 
      1.15000       -0.0000     -0.000117      0.000000 
      1.20000       -0.0000     -0.000102      0.000000 
      1.25000       -0.0000     -0.000074      0.000000 
      1.30000       -0.0000     -0.000017      0.000000 
      1.35000       -0.0000      0.000065      0.000000 
      1.40000        0.0000      0.000196      0.000000 
      1.45000        0.0001      0.000374      0.000000 
      1.50000        0.0001      0.000620      0.000000 
      1.55000        0.0002      0.000946      0.000000 
      1.60000        0.0003      0.001369      0.000000 
      1.65000        0.0004      0.001908      0.000000 
      1.70000        0.0005      0.002579      0.000000 
      1.75000        0.0007      0.003402      0.000000 
      1.80000        0.0009      0.004394      0.000000 
      1.85000        0.0012      0.005573      0.000000 
      1.90000        0.0015      0.006950      0.000000 
      1.95000        0.0019      0.008536      0.000000 
      2.00000        0.0023      0.010333      0.000000 
      2.05000        0.0028      0.012339      0.000000 
      2.10000        0.0033      0.014540      0.000000 
      2.15000        0.0039      0.016911      0.000000 
      2.20000        0.0045      0.019418      0.000000 
      2.25000        0.0051      0.022009      0.000000 
      2.30000        0.0058      0.024624      0.000000 
      2.35000        0.0065      0.027182      0.000000 
      2.40000        0.0071      0.029600      0.000000 
      2.45000        0.0077      0.031770      0.000000 
      2.50000        0.0081      0.033586      0.000000 
      2.55000        0.0085      0.034935      0.000000 
      2.60000        0.0088      0.035702      0.000000 
      2.65000        0.0088      0.035781      0.000000 
      2.70000        0.0087      0.035077      0.000000 
      2.75000        0.0083      0.033516      0.000000 
      2.80000        0.0077      0.031044      0.000000 
      2.85000        0.0069      0.027639      0.000000 
      2.90000        0.0058      0.023314      0.000000 
      2.95000        0.0045      0.018117      0.000000 
      3.00000        0.0030      0.012136      0.000000 
      3.05000        0.0013      0.005493      0.000000 
      3.10000       -0.0005     -0.001660      0.000000 
      3.15000       -0.0024     -0.009133      0.000000 
      3.20000       -0.0043     -0.016722      0.000000 
      3.25000       -0.0062     -0.024207      0.000000 
      3.30000       -0.0080     -0.031355      0.000000 
      3.35000       -0.0096     -0.037936      0.000000 
      3.40000       -0.0110     -0.043724      0.000000 
      3.45000       -0.0122     -0.048507      0.000000 
      3.50000       -0.0131     -0.052093      0.000000 
      3.55000       -0.0136     -0.054316      0.000000 
      3.60000       -0.0138     -0.055043      0.000000 
      3.65000       -0.0135     -0.054174      0.000000 
      3.70000       -0.0129     -0.051661      0.000000 
      3.75000       -0.0118     -0.047499      0.000000 
      3.80000       -0.0103     -0.041738      0.000000 
      3.85000       -0.0085     -0.034486      0.000000 
      3.90000       -0.0062     -0.025910      0.000000 
      3.95000       -0.0037     -0.016240      0.000000 
      4.00000       -0.0010     -0.005767      0.000000 
      4.05000        0.0019      0.005178      0.000000 
      4.10000        0.0047      0.016208      0.000000 
      4.15000        0.0075      0.026908      0.000000 
      4.20000        0.0101      0.036868      0.000000 
      4.25000        0.0124      0.045687      0.000000 
      4.30000        0.0142      0.053001      0.000000 
      4.35000        0.0155      0.058518      0.000000 
      4.40000        0.0163      0.062036      0.000000 
      4.45000        0.0165      0.063439      0.000000 
