%
%
% Run:      Table:GAUGE1            SWASH version:11.01AB
%
%       Tsec          Watlev      X-vel         Y-vel      
%       [s]           [m]           [m/s]         [m/s]    
%
      0.00000        0.0000      0.000000      0.000000 
      0.05000       -0.0000     -0.000007      0.000000 
      0.10000       -0.0000     -0.000001      0.000000 
      0.15000       -0.0000     -0.000009      0.000000 
      0.20000       -0.0000     -0.000006      0.000000 
      0.25000       -0.0000     -0.000009      0.000000 
      0.30000       -0.0000     -0.000019      0.000000 
      0.35000       -0.0000     -0.000029      0.000000 
      0.40000       -0.0000     -0.000050      0.000000 
      0.45000       -0.0000     -0.000051      0.000000 
      0.50000       -0.0000     -0.000097      0.000000 
      0.55000       -0.0000     -0.000177      0.000000 
      0.60000       -0.0000     -0.000224      0.000000 
      0.65000       -0.0001     -0.000283      0.000000 
      0.70000       -0.0001     -0.000411      0.000000 
      0.75000       -0.0001     -0.000516      0.000000 
      0.80000       -0.0001     -0.000701      0.000000 
      0.85000       -0.0002     -0.000942      0.000000 
      0.90000       -0.0002     -0.001200      0.000000 
      0.95000       -0.0003     -0.001523      0.000000 
      1.00000       -0.0004     -0.001887      0.000000 
      1.05000       -0.0005     -0.002318      0.000000 
      1.10000       -0.0006     -0.002804      0.000000 
      1.15000       -0.0007     -0.003318      0.000000 
      1.20000       -0.0009     -0.003894      0.000000 
      1.25000       -0.0010     -0.004475      0.000000 
      1.30000       -0.0012     -0.005028      0.000000 
      1.35000       -0.0013     -0.005505      0.000000 
      1.40000       -0.0015     -0.005864      0.000000 
      1.45000       -0.0015     -0.006014      0.000000 
      1.50000       -0.0016     -0.005877      0.000000 
      1.55000       -0.0015     -0.005296      0.000000 
      1.60000       -0.0014     -0.004169      0.000000 
      1.65000       -0.0010     -0.002288      0.000000 
      1.70000       -0.0005      0.000513      0.000000 
      1.75000        0.0003      0.004463      0.000000 
      1.80000        0.0014      0.009780      0.000000 
      1.85000        0.0028      0.016710      0.000000 
