%
%
% Run:      Table:GAUGE3            SWASH version:11.01AB
%
%       Tsec          Watlev      X-vel         Y-vel      
%       [s]           [m]           [m/s]         [m/s]    
%
      0.00000        0.0000      0.000000      0.000000 
      0.05000       -0.0000     -0.000000      0.000000 
      0.10000        0.0000      0.000000      0.000000 
      0.15000        0.0000     -0.000000      0.000000 
      0.20000        0.0000      0.000000      0.000000 
      0.25000       -0.0000     -0.000000      0.000000 
      0.30000       -0.0000     -0.000000      0.000000 
      0.35000        0.0000      0.000000      0.000000 
      0.40000       -0.0000     -0.000000      0.000000 
      0.45000        0.0000      0.000000      0.000000 
      0.50000        0.0000      0.000000      0.000000 
      0.55000       -0.0000     -0.000000      0.000000 
      0.60000       -0.0000     -0.000000      0.000000 
      0.65000        0.0000     -0.000000      0.000000 
      0.70000       -0.0000     -0.000000      0.000000 
      0.75000        0.0000      0.000000      0.000000 
      0.80000       -0.0000      0.000000      0.000000 
      0.85000        0.0000      0.000000      0.000000 
      0.90000        0.0000      0.000000      0.000000 
      0.95000       -0.0000     -0.000000      0.000000 
      1.00000       -0.0000     -0.000000      0.000000 
      1.05000       -0.0000     -0.000000      0.000000 
      1.10000       -0.0000     -0.000000      0.000000 
      1.15000       -0.0000     -0.000000      0.000000 
      1.20000       -0.0000     -0.000000      0.000000 
      1.25000       -0.0000     -0.000000      0.000000 
      1.30000       -0.0000     -0.000000      0.000000 
      1.35000       -0.0000     -0.000000      0.000000 
      1.40000       -0.0000     -0.000000      0.000000 
      1.45000       -0.0000     -0.000000      0.000000 
      1.50000       -0.0000     -0.000000      0.000000 
      1.55000       -0.0000     -0.000000      0.000000 
      1.60000        0.0000      0.000000      0.000000 
      1.65000        0.0000      0.000000      0.000000 
      1.70000        0.0000      0.000000      0.000000 
      1.75000        0.0000      0.000000      0.000000 
      1.80000        0.0000      0.000000      0.000000 
      1.85000        0.0000      0.000000      0.000000 
      1.90000        0.0000      0.000000      0.000000 
      1.95000        0.0000      0.000000      0.000000 
      2.00000        0.0000      0.000000      0.000000 
      2.05000        0.0000      0.000000      0.000000 
      2.10000        0.0000      0.000000      0.000000 
      2.15000        0.0000      0.000000      0.000000 
      2.20000        0.0000      0.000000      0.000000 
      2.25000        0.0000      0.000000      0.000000 
      2.30000        0.0000      0.000000      0.000000 
      2.35000        0.0000      0.000000      0.000000 
      2.40000        0.0000      0.000000      0.000000 
      2.45000       -0.0000     -0.000000      0.000000 
      2.50000       -0.0000     -0.000000      0.000000 
      2.55000       -0.0000     -0.000000      0.000000 
      2.60000       -0.0000     -0.000000      0.000000 
      2.65000       -0.0000     -0.000000      0.000000 
      2.70000       -0.0000     -0.000000      0.000000 
      2.75000       -0.0000     -0.000000      0.000000 
      2.80000       -0.0000     -0.000000      0.000000 
      2.85000       -0.0000     -0.000000      0.000000 
      2.90000       -0.0000     -0.000000      0.000000 
      2.95000       -0.0000     -0.000000      0.000000 
      3.00000       -0.0000     -0.000000      0.000000 
      3.05000       -0.0000     -0.000000      0.000000 
      3.10000       -0.0000     -0.000000      0.000000 
      3.15000       -0.0000     -0.000000      0.000000 
      3.20000       -0.0000     -0.000000      0.000000 
      3.25000       -0.0000     -0.000000      0.000000 
      3.30000       -0.0000     -0.000000      0.000000 
      3.35000        0.0000      0.000000      0.000000 
      3.40000        0.0000      0.000000      0.000000 
      3.45000        0.0000      0.000000      0.000000 
      3.50000        0.0000      0.000001      0.000000 
      3.55000        0.0000      0.000001      0.000000 
      3.60000        0.0000      0.000001      0.000000 
      3.65000        0.0000      0.000001      0.000000 
      3.70000        0.0000      0.000001      0.000000 
      3.75000        0.0000      0.000001      0.000000 
      3.80000        0.0000      0.000001      0.000000 
      3.85000        0.0000      0.000001      0.000000 
      3.90000        0.0000      0.000001      0.000000 
      3.95000        0.0000      0.000000      0.000000 
      4.00000       -0.0000     -0.000000      0.000000 
      4.05000       -0.0000     -0.000001      0.000000 
      4.10000       -0.0000     -0.000002      0.000000 
      4.15000       -0.0000     -0.000004      0.000000 
      4.20000       -0.0000     -0.000005      0.000000 
      4.25000       -0.0000     -0.000007      0.000000 
      4.30000       -0.0000     -0.000009      0.000000 
      4.35000       -0.0000     -0.000012      0.000000 
      4.40000       -0.0000     -0.000015      0.000000 
      4.45000       -0.0000     -0.000018      0.000000 
      4.50000       -0.0000     -0.000022      0.000000 
      4.55000       -0.0000     -0.000026      0.000000 
      4.60000       -0.0000     -0.000031      0.000000 
      4.65000       -0.0000     -0.000036      0.000000 
      4.70000       -0.0000     -0.000042      0.000000 
      4.75000       -0.0000     -0.000049      0.000000 
      4.80000       -0.0000     -0.000056      0.000000 
      4.85000       -0.0000     -0.000065      0.000000 
      4.90000       -0.0000     -0.000074      0.000000 
      4.95000       -0.0000     -0.000084      0.000000 
      5.00000       -0.0000     -0.000094      0.000000 
      5.05000       -0.0000     -0.000106      0.000000 
      5.10000       -0.0000     -0.000118      0.000000 
      5.15000       -0.0000     -0.000130      0.000000 
      5.20000       -0.0000     -0.000141      0.000000 
      5.25000       -0.0000     -0.000152      0.000000 
      5.30000       -0.0000     -0.000159      0.000000 
      5.35000       -0.0000     -0.000162      0.000000 
      5.40000       -0.0000     -0.000159      0.000000 
      5.45000       -0.0000     -0.000147      0.000000 
      5.50000       -0.0000     -0.000121      0.000000 
      5.55000       -0.0000     -0.000077      0.000000 
      5.60000       -0.0000     -0.000010      0.000000 
      5.65000        0.0000      0.000088      0.000000 
      5.70000        0.0000      0.000227      0.000000 
      5.75000        0.0001      0.000417      0.000000 
      5.80000        0.0001      0.000672      0.000000 
      5.85000        0.0002      0.001008      0.000000 
      5.90000        0.0002      0.001445      0.000000 
      5.95000        0.0003      0.002007      0.000000 
      6.00000        0.0004      0.002722      0.000000 
      6.05000        0.0006      0.003622      0.000000 
      6.10000        0.0008      0.004747      0.000000 
      6.15000        0.0010      0.006144      0.000000 
      6.20000        0.0013      0.007864      0.000000 
      6.25000        0.0017      0.009971      0.000000 
      6.30000        0.0021      0.012536      0.000000 
      6.35000        0.0027      0.015640      0.000000 
      6.40000        0.0033      0.019374      0.000000 
      6.45000        0.0041      0.023841      0.000000 
      6.50000        0.0050      0.029151      0.000000 
      6.55000        0.0061      0.035424      0.000000 
      6.60000        0.0074      0.042784      0.000000 
      6.65000        0.0090      0.051354      0.000000 
      6.70000        0.0107      0.061247      0.000000 
      6.75000        0.0128      0.072558      0.000000 
      6.80000        0.0151      0.085351      0.000000 
      6.85000        0.0178      0.099632      0.000000 
      6.90000        0.0207      0.115341      0.000000 
      6.95000        0.0239      0.132320      0.000000 
      7.00000        0.0273      0.150296      0.000000 
      7.05000        0.0309      0.168865      0.000000 
      7.10000        0.0346      0.187486      0.000000 
      7.15000        0.0381      0.205494      0.000000 
      7.20000        0.0414      0.222122      0.000000 
      7.25000        0.0443      0.236566      0.000000 
      7.30000        0.0466      0.248038      0.000000 
      7.35000        0.0481      0.255867      0.000000 
      7.40000        0.0487      0.259519      0.000000 
      7.45000        0.0485      0.258822      0.000000 
      7.50000        0.0474      0.253795      0.000000 
      7.55000        0.0454      0.244691      0.000000 
      7.60000        0.0428      0.232036      0.000000 
      7.65000        0.0397      0.216438      0.000000 
      7.70000        0.0363      0.198593      0.000000 
      7.75000        0.0326      0.179186      0.000000 
      7.80000        0.0288      0.158820      0.000000 
      7.85000        0.0250      0.138039      0.000000 
      7.90000        0.0213      0.117250      0.000000 
      7.95000        0.0177      0.096757      0.000000 
      8.00000        0.0142      0.076762      0.000000 
      8.05000        0.0109      0.057390      0.000000 
      8.10000        0.0076      0.038705      0.000000 
      8.15000        0.0046      0.020726      0.000000 
      8.20000        0.0016      0.003445      0.000000 
      8.25000       -0.0012     -0.013170      0.000000 
      8.30000       -0.0039     -0.029139      0.000000 
      8.35000       -0.0064     -0.044493      0.000000 
      8.40000       -0.0089     -0.059254      0.000000 
      8.45000       -0.0113     -0.073433      0.000000 
      8.50000       -0.0136     -0.087029      0.000000 
      8.55000       -0.0158     -0.100026      0.000000 
      8.60000       -0.0179     -0.112386      0.000000 
      8.65000       -0.0198     -0.124046      0.000000 
      8.70000       -0.0217     -0.134914      0.000000 
      8.75000       -0.0233     -0.144853      0.000000 
      8.80000       -0.0249     -0.153672      0.000000 
      8.85000       -0.0262     -0.161106      0.000000 
      8.90000       -0.0272     -0.166790      0.000000 
      8.95000       -0.0279     -0.170230      0.000000 
      9.00000       -0.0281     -0.170778      0.000000 
      9.05000       -0.0278     -0.167495      0.000000 
      9.10000       -0.0267     -0.159171      0.000000 
      9.15000       -0.0245     -0.144306      0.000000 
      9.20000       -0.0210     -0.120917      0.000000 
      9.25000       -0.0156     -0.086988      0.000000 
      9.30000       -0.0078     -0.039988      0.000000 
      9.35000        0.0031      0.021939      0.000000 
      9.40000        0.0178      0.099653      0.000000 
      9.45000        0.0370      0.192361      0.000000 
      9.50000        0.0607      0.296160      0.000000 
      9.55000        0.0872      0.402302      0.000000 
      9.60000        0.1095      0.494051      0.000000 
      9.65000        0.1204      0.545534      0.000000 
      9.70000        0.1168      0.547390      0.000000 
      9.75000        0.1008      0.500412      0.000000 
      9.80000        0.0784      0.419060      0.000000 
      9.85000        0.0553      0.321588      0.000000 
      9.90000        0.0347      0.222446      0.000000 
      9.95000        0.0179      0.130706      0.000000 
     10.00000        0.0045      0.050697      0.000000 
     10.05000       -0.0059     -0.016092      0.000000 
     10.10000       -0.0139     -0.070638      0.000000 
     10.15000       -0.0201     -0.114306      0.000000 
     10.20000       -0.0250     -0.149250      0.000000 
     10.25000       -0.0291     -0.177459      0.000000 
     10.30000       -0.0325     -0.200113      0.000000 
     10.35000       -0.0355     -0.219186      0.000000 
     10.40000       -0.0381     -0.235694      0.000000 
     10.45000       -0.0406     -0.250368      0.000000 
     10.50000       -0.0428     -0.263748      0.000000 
     10.55000       -0.0450     -0.276279      0.000000 
     10.60000       -0.0470     -0.288134      0.000000 
     10.65000       -0.0489     -0.299386      0.000000 
     10.70000       -0.0506     -0.310258      0.000000 
     10.75000       -0.0522     -0.320657      0.000000 
     10.80000       -0.0536     -0.330513      0.000000 
     10.85000       -0.0547     -0.339302      0.000000 
     10.90000       -0.0554     -0.346550      0.000000 
     10.95000       -0.0556     -0.350373      0.000000 
     11.00000       -0.0551     -0.350830      0.000000 
     11.05000       -0.0534     -0.339910      0.000000 
     11.10000       -0.0502     -0.320441      0.000000 
     11.15000       -0.0440     -0.273188      0.000000 
     11.20000       -0.0330     -0.212401      0.000000 
     11.25000       -0.0164     -0.066210      0.000000 
     11.30000        0.0101      0.091674      0.000000 
     11.35000        0.0302      0.214570      0.000000 
     11.40000        0.0441      0.271346      0.000000 
     11.45000        0.0522      0.287621      0.000000 
     11.50000        0.0601      0.361292      0.000000 
     11.55000        0.0662      0.387718      0.000000 
     11.60000        0.0711      0.402393      0.000000 
     11.65000        0.0726      0.404063      0.000000 
     11.70000        0.0699      0.383422      0.000000 
     11.75000        0.0630      0.356008      0.000000 
     11.80000        0.0519      0.308045      0.000000 
     11.85000        0.0384      0.245204      0.000000 
     11.90000        0.0241      0.174821      0.000000 
     11.95000        0.0103      0.101789      0.000000 
     12.00000       -0.0024      0.029461      0.000000 
     12.05000       -0.0137     -0.038174      0.000000 
     12.10000       -0.0236     -0.099550      0.000000 
     12.15000       -0.0320     -0.154109      0.000000 
     12.20000       -0.0390     -0.202830      0.000000 
     12.25000       -0.0447     -0.246530      0.000000 
     12.30000       -0.0492     -0.285382      0.000000 
     12.35000       -0.0531     -0.319046      0.000000 
     12.40000       -0.0567     -0.346591      0.000000 
     12.45000       -0.0602     -0.367708      0.000000 
     12.50000       -0.0636     -0.383134      0.000000 
     12.55000       -0.0666     -0.394460      0.000000 
     12.60000       -0.0690     -0.403645      0.000000 
     12.65000       -0.0707     -0.412195      0.000000 
     12.70000       -0.0717     -0.420895      0.000000 
     12.75000       -0.0719     -0.429692      0.000000 
     12.80000       -0.0717     -0.437906      0.000000 
     12.85000       -0.0713     -0.444358      0.000000 
     12.90000       -0.0709     -0.447703      0.000000 
     12.95000       -0.0707     -0.447005      0.000000 
     13.00000       -0.0706     -0.442090      0.000000 
     13.05000       -0.0703     -0.433434      0.000000 
     13.10000       -0.0697     -0.421746      0.000000 
     13.15000       -0.0684     -0.407270      0.000000 
     13.20000       -0.0661     -0.389466      0.000000 
     13.25000       -0.0627     -0.366470      0.000000 
     13.30000       -0.0579     -0.335267      0.000000 
     13.35000       -0.0513     -0.292054      0.000000 
     13.40000       -0.0421     -0.232524      0.000000 
     13.45000       -0.0293     -0.152872      0.000000 
     13.50000       -0.0113     -0.049509      0.000000 
     13.55000        0.0140      0.078448      0.000000 
     13.60000        0.0493      0.229671      0.000000 
     13.65000        0.0889      0.391741      0.000000 
     13.70000        0.1184      0.520069      0.000000 
     13.75000        0.1240      0.566532      0.000000 
     13.80000        0.1078      0.527471      0.000000 
     13.85000        0.0798      0.433336      0.000000 
     13.90000        0.0514      0.318135      0.000000 
     13.95000        0.0284      0.208048      0.000000 
     14.00000        0.0127      0.103339      0.000000 
     14.05000        0.0028      0.025868      0.000000 
     14.10000       -0.0028     -0.026856      0.000000 
     14.15000       -0.0051     -0.061321      0.000000 
     14.20000       -0.0049     -0.082292      0.000000 
     14.25000       -0.0029     -0.090716      0.000000 
     14.30000        0.0003     -0.089584      0.000000 
     14.35000        0.0039     -0.080245      0.000000 
     14.40000        0.0072     -0.065490      0.000000 
     14.45000        0.0097     -0.047076      0.000000 
     14.50000        0.0107     -0.026930      0.000000 
     14.55000        0.0099     -0.007034      0.000000 
     14.60000        0.0073      0.010313      0.000000 
     14.65000        0.0030      0.024163      0.000000 
     14.70000       -0.0026      0.033022      0.000000 
     14.75000       -0.0090      0.036301      0.000000 
     14.80000       -0.0155      0.033926      0.000000 
     14.85000       -0.0217      0.025906      0.000000 
     14.90000       -0.0272      0.012527      0.000000 
     14.95000       -0.0316     -0.006118      0.000000 
     15.00000       -0.0349     -0.029474      0.000000 
     15.05000       -0.0371     -0.056757      0.000000 
     15.10000       -0.0384     -0.086661      0.000000 
     15.15000       -0.0389     -0.117138      0.000000 
     15.20000       -0.0391     -0.145640      0.000000 
     15.25000       -0.0393     -0.169627      0.000000 
     15.30000       -0.0395     -0.186909      0.000000 
     15.35000       -0.0396     -0.196097      0.000000 
     15.40000       -0.0394     -0.196470      0.000000 
     15.45000       -0.0384     -0.187712      0.000000 
     15.50000       -0.0363     -0.169373      0.000000 
     15.55000       -0.0324     -0.140630      0.000000 
     15.60000       -0.0264     -0.100677      0.000000 
     15.65000       -0.0178     -0.049426      0.000000 
     15.70000       -0.0063      0.012923      0.000000 
     15.75000        0.0082      0.084701      0.000000 
     15.80000        0.0253      0.162646      0.000000 
     15.85000        0.0430      0.239973      0.000000 
     15.90000        0.0573      0.304927      0.000000 
     15.95000        0.0643      0.340677      0.000000 
     16.00000        0.0627      0.343881      0.000000 
     16.05000        0.0534      0.314030      0.000000 
     16.10000        0.0398      0.260547      0.000000 
     16.15000        0.0252      0.196085      0.000000 
     16.20000        0.0123      0.132307      0.000000 
     16.25000        0.0021      0.078038      0.000000 
     16.30000       -0.0049      0.038407      0.000000 
     16.35000       -0.0086      0.015848      0.000000 
     16.40000       -0.0091      0.010918      0.000000 
     16.45000       -0.0064      0.022401      0.000000 
     16.50000       -0.0007      0.048188      0.000000 
     16.55000        0.0077      0.085399      0.000000 
     16.60000        0.0182      0.130274      0.000000 
     16.65000        0.0296      0.177672      0.000000 
     16.70000        0.0401      0.221222      0.000000 
     16.75000        0.0475      0.253409      0.000000 
     16.80000        0.0506      0.268769      0.000000 
     16.85000        0.0493      0.265815      0.000000 
     16.90000        0.0441      0.246365      0.000000 
     16.95000        0.0366      0.214743      0.000000 
     17.00000        0.0282      0.176419      0.000000 
     17.05000        0.0200      0.136741      0.000000 
     17.10000        0.0127      0.099599      0.000000 
     17.15000        0.0066      0.067111      0.000000 
     17.20000        0.0017      0.040220      0.000000 
     17.25000       -0.0020      0.018677      0.000000 
     17.30000       -0.0048      0.001709      0.000000 
     17.35000       -0.0067     -0.011708      0.000000 
     17.40000       -0.0079     -0.022565      0.000000 
     17.45000       -0.0087     -0.031612      0.000000 
     17.50000       -0.0093     -0.039294      0.000000 
     17.55000       -0.0097     -0.045792      0.000000 
     17.60000       -0.0101     -0.051014      0.000000 
     17.65000       -0.0105     -0.054746      0.000000 
     17.70000       -0.0108     -0.056713      0.000000 
     17.75000       -0.0111     -0.056676      0.000000 
     17.80000       -0.0110     -0.054467      0.000000 
     17.85000       -0.0106     -0.050092      0.000000 
     17.90000       -0.0097     -0.043650      0.000000 
     17.95000       -0.0082     -0.035378      0.000000 
     18.00000       -0.0063     -0.025631      0.000000 
     18.05000       -0.0040     -0.014926      0.000000 
     18.10000       -0.0014     -0.003953      0.000000 
     18.15000        0.0010      0.006409      0.000000 
     18.20000        0.0031      0.015146      0.000000 
     18.25000        0.0046      0.021204      0.000000 
     18.30000        0.0052      0.023560      0.000000 
     18.35000        0.0047      0.021681      0.000000 
     18.40000        0.0032      0.015331      0.000000 
     18.45000        0.0007      0.004863      0.000000 
     18.50000       -0.0024     -0.008799      0.000000 
     18.55000       -0.0058     -0.024100      0.000000 
     18.60000       -0.0091     -0.039142      0.000000 
     18.65000       -0.0118     -0.051531      0.000000 
     18.70000       -0.0135     -0.058324      0.000000 
     18.75000       -0.0136     -0.056486      0.000000 
     18.80000       -0.0114     -0.041988      0.000000 
     18.85000       -0.0063     -0.011003      0.000000 
     18.90000        0.0027      0.039486      0.000000 
     18.95000        0.0168      0.112587      0.000000 
     19.00000        0.0380      0.208505      0.000000 
     19.05000        0.0673      0.325229      0.000000 
     19.10000        0.0992      0.449457      0.000000 
     19.15000        0.1216      0.544196      0.000000 
     19.20000        0.1240      0.573452      0.000000 
     19.25000        0.1078      0.531838      0.000000 
     19.30000        0.0810      0.440037      0.000000 
